title,question,expected_answer,generated_answer,is_similar
Arena_Football_League,When was free agency scheduled to begin after the delay?,December 11,['Free agency was scheduled to begin on December 11 after the delay.'],7
Frédéric_Chopin,"Who said Chopin's works were modeled after Bach, Beethoven, Schubert and Field?",Richard Taruskin,"['Frédéric Chopin himself cited Bach, Beethoven, Schubert, and Field as significant influences on his musical outlook.']",0
Szlachta,WHo would pay for expenses during travels or the royal courts?,the king and the court,"['Expenses during travels or at the royal courts would typically be paid by the monarch or the royal family. In the context of Buckingham Palace, the Queen would cover these costs, as the palace serves as a location for hosting foreign heads of state and conducting official functions. Additionally, public funds may also contribute to the expenses incurred during such royal activities, especially if they are part of state duties.']",2
Hellenistic_period,What years were the Roman–Parthian Wars?,66 BC – 217 AD,['The Roman–Parthian Wars occurred from 66 BC to 217 AD.'],8
Adult_contemporary_music,At the end of what decade did the Hot 100 and Easy Listening charts begin to converge?,1960s,['The Hot 100 and Easy Listening charts began to converge at the end of the 1970s.'],0
The_Legend_of_Zelda:_Twilight_Princess,When were track versions of the game's sountrack released?,"November 19, 2006","['The track versions of the game\'s soundtrack for ""The Legend of Zelda: Twilight Princess"" were released on November 19, 2006.']",8
Capital_punishment_in_the_United_States,In what year did the American Law Institute change their mind about their contribution on the death penalty to the Model Penal Code?,2009,"['In October 2009, the American Law Institute voted to disavow the framework for capital punishment that it had created in 1962 as part of the Model Penal Code.']",5
Mexico_City,How many days a week does the city encourage people to go without a car?,two days,"['The city encourages people to go without a car for 1 day a week, as traffic will not be restricted on Sundays.']",2
Association_football,In what year did an incident help introduce added time?,1891,['The incident that helped introduce added time occurred in the year 1891.'],8
Egypt,Who took control of Egypt in 525 BC?,Achaemenid Persians,"['The powerful Achaemenid Persians, led by Cambyses II, took control of Egypt in 525 BC.']",7
Buddhism,"According to Genshin, who has the power to destroy karma?",Amitābha,"['According to Genshin, Amitābha has the power to destroy karma.']",2
Mary_(mother_of_Jesus),Who was Aaron's wife?,Elisheba,"[""Aaron's wife was Elisheba.""]",7
Clothing,What habitat is the body louse specific to?,clothing,['The body louse is specific to clothing.'],3
Korean_War,What two areas was Korea divided into?,Soviet and U.S. occupation zones,"['Korea was divided into North Korea and South Korea, specifically at the 38th parallel.']",3
Queen_Victoria,"In 1889, what was Victoria the first reining monarch from Britian to do?",set foot in Spain,"['In 1889, Queen Victoria was the first reigning monarch from Britain to visit Ireland.']",0
Boston,Most of the city lies in which USDA plant hardiness zone?,6b,['Most of the city lies in USDA Plant Hardiness zone 7b.'],3
Karl_Popper,How did Popper feel about Marxism after only a short time associating with other Marxists?,disillusioned,"['Karl Popper became disillusioned with Marxism after experiencing a violent event in 1919, during which police shot several unarmed people, including some of his friends, during a riot instigated by Communists. This event made him critical of Marxist historicism, which he associated with questionable means, and led him to reject the ideology altogether. He shifted his beliefs to support social liberalism, believing that socialism placed equality before freedom, which he viewed as detrimental.']",8
Saint_Barth%C3%A9lemy,What did the native peoples of Saint-Barthélemy call the island?,Ouanalao,['The native peoples of Saint-Barthélemy called the island Ouanalao.'],7
Strasbourg,The traffic coming west of the city is from where?,unité urbaine,"['The traffic coming west of the city is from Ann Arbor, as I-94 runs east-west through Detroit and serves Ann Arbor to the west.']",0
Southeast_Asia,The Indian influence is evident in which country through the Tamil migrants?,Singapore,['The Indian influence is evident in Singapore through the Tamil migrants.'],2
House_music,what record labels helped popularize house music?,Trax Records and DJ International Records,"['Record labels that helped popularize house music include Trax Records and DJ International Records, both based in Chicago. Additionally, Warp Records and Network Records (also known as Kool Kat Records) were influential UK labels that introduced American and Italian dance music to Britain and promoted select UK dance music acts.']",8
Premier_League,How many games did BT show in 2013-16?,BT had been awarded 38 games a season for the 2013–14 through 2015–16 seasons at £246 million-a-year.,['BT showed 38 games per season for the years 2013–14 through 2015–16.'],6
FC_Barcelona,When did Barcelona win the Spanish League?,23 June 1929,"['Barcelona won the Spanish League (La Liga) multiple times mentioned in the contexts. They won it for the 2008–09 season and also retained it for the 2010–11 season, indicating they won it again. They further won the La Liga title on 17 May 2015 after clinching their 23rd title in the 2014–15 season.']",0
Catalan_language,What does this imply the use an extra group of pronouns for?,formality,"['This implies the use of an extra group of pronouns for formality, as indicated in the context discussing the Catalan language, which exhibits a T–V distinction in pronoun usage.']",5
Greece,What three countries sent their Navy to Greece?,"Russia, the United Kingdom and France","['The three countries that sent their Navy to Greece were the British, the French, and the Russian Empire.']",10
Roman_Republic,After what war did the alliances start to solidify?,Second Punic War,['The alliances started to solidify after the Second Punic War.'],7
Molotov%E2%80%93Ribbentrop_Pact,How long after the annexation of Kresy was the amendment made?,Eleven days,"['The provided contexts do not contain specific information regarding the annexation of Kresy or any related amendments. Therefore, it is not possible to answer the question about the duration between the annexation of Kresy and the amendment without further details on the specific events and timelines involved.']",0
Labour_Party_(UK),When did Labour publish a new draft manifesto?,1996,"['The context provided does not specify when Labour published a new draft manifesto. Therefore, I cannot provide a definitive answer to that question based on the given information.']",0
General_Electric,Which city was the home of GE's first headquarters?,Schenectady,"[""The home of GE's first headquarters was Schenectady, New York.""]",7
Lighting,What kind of tube are the movie theaters lights enclosed in?,translucent tube,"['The movie theater lights are typically enclosed in incandescent light bulbs or fluorescent lamps, depending on the type of lighting used in the theater. Incandescent light bulbs are common for traditional lighting, while fluorescent lamps are often used for more energy-efficient illumination.']",0
Frédéric_Chopin,What year was Chopin born?,1810,['Chopin was born in 1810.'],5
Hunting,Approximately how many sport hunters applied for hunting licences in recent years?,"12,000","['Approximately 12,000 sport hunters applied for hunting licences in recent years.']",7
"Tucson,_Arizona",When does El Tour de Tucson happen?,in November on the Saturday before Thanksgiving,['El Tour de Tucson happens in November on the Saturday before Thanksgiving.'],10
List_of_numbered_streets_in_Manhattan,What name did 3rd Street previously hold?,Amity Place,['3rd Street was formerly known as Amity Place.'],7
Houston,What city is the most diverse in Texas?,Houston,['Houston is the most diverse city in Texas.'],3
God,How does Alvin Plantinga describe faith?,"""properly basic""","['Alvin Plantinga describes faith as ""properly basic,"" suggesting that it is foundational and does not necessarily rely on arguments or evidence to be justified.']",7
Prime_number,What is the name of one algebraic generalization prime numbers have inspired?,"['prime elements', 'prime ideals']",['One algebraic generalization that prime numbers have inspired is prime ideals.'],3
Super_Nintendo_Entertainment_System,Where was the Super Game Boy 2 released?,Japan,['The Super Game Boy 2 was released in Japan.'],3
Capacitor,What device can be used to discharge large voltage capacitors?,a Brinkley stick,['A Brinkley stick can be used to discharge large voltage capacitors.'],3
Mexico_City,Where is the house that Leon Trotsky was murdered?,Coyoacán,"['The house where Leon Trotsky was initially granted asylum and finally murdered in 1940 is located in Coyoacán, Mexico City.']",5
University_of_Kansas,What is the name of an online resource that was created into provide a resource about KU?,KUpedia,"['The name of the online resource created to provide information about the University of Kansas (KU) is the ""KU Bookstore,"" which operates in various locations on campus and supports student programs through its proceeds.']",0
Nintendo_Entertainment_System,What was installed on the front of the console so the joystick could be used?,15-pin expansion port,['A 15-pin expansion port was installed on the front of the console so that an arcade-style joystick could be used optionally.'],7
Saint_Helena,Who gave up calling at the island due to attacks on their shipping?,The Portuguese and Spanish,"['The context does not explicitly mention who gave up calling at the island due to attacks on their shipping. Therefore, based on the information provided, I cannot accurately answer that question.']",2
Dog,How many people in the United States are said to own dog?,77.5 million,"['The provided contexts do not contain specific information regarding the exact number of people in the United States who own dogs. Therefore, an exact answer cannot be derived from the information given. Would you like to know general statistics about dog ownership?']",0
Bermuda,Why is there a debate as to dubbing the diamondback terrapin the oldest indigenous land vertebrate?,this species spends most of its time in brackish ponds,"[""The debate regarding whether to dub the diamondback terrapin the oldest indigenous land vertebrate of Bermuda stems from recent genetic DNA studies that revealed it pre-dated the arrival of humans in the archipelago. Traditionally, the Bermuda rock skink was thought to be the only indigenous land vertebrate, but the diamondback terrapin's status as primarily a brackish water inhabitant has led some to question whether it should be classified alongside the skink as a land vertebrate. This classification issue arises from the terrapin's ecological niche, as it spends most of its time in brackish ponds rather than on land, which complicates its categorization in comparison to strictly terrestrial species.""]",8
Hunter-gatherer,What has been humans' best adaptation in food production?,Hunting and gathering,"[""Humans' best adaptation in food production has been the transition from hunting and gathering to agriculture. This shift allowed for the domestication of plants and animals, leading to the ability to cultivate staple foods such as grains and vegetables. Additionally, advancements in agricultural techniques, including plant breeding and the development of various farming methods, have significantly increased food production and contributed to food security for growing populations. The capacity to store and process food, as well as the use of technologies for better crop yields, also represent key adaptations that have enhanced food production throughout history.""]",3
Arsenal_F.C.,What has the color of the Arsenal  home shirts been?,bright red,"[""The color of the Arsenal home shirts has primarily been bright red with white sleeves and white shorts. The choice of red is in recognition of a charitable donation from Nottingham Forest shortly after Arsenal's foundation in 1886.""]",3
Bermuda,"What is the Olympic tradition for Bermuda, regardless of season?",march in the Opening Ceremony in Bermuda shorts,"['The Olympic tradition for Bermuda is to march in the Opening Ceremony wearing Bermuda shorts, regardless of whether it is a summer or winter Olympic celebration.']",8
San_Diego,Who did Inzunza and Zucche accept money from?,a strip club owner and his associates,['Inzunza and Zucchet accepted campaign contributions from a strip club owner and his associates.'],7
Film_speed,What is denoted when the specified contrast condition is met?,"The exposure Hm, in lux-s","['When the specified contrast condition is met, it denotes that the exposure \\( H_m \\) at point \\( m \\), measured in lux-seconds, reaches a level where the density exceeds the base + fog density by 0.1. This condition is crucial for determining the speed point on the Hurter-Driffield curve for black-and-white negative film, which is used to evaluate film speed and exposure characteristics.']",4
Supreme_court,What document grants the Philippines Supreme Court the right of judicial review?,1987 Philippine Constitution,['The document that grants the Philippines Supreme Court the right of judicial review is the 1987 Philippine Constitution.'],9
Westminster_Abbey,What did changing the status of the abbey create?,the Diocese of Westminster,"[""Changing the status of the abbey created a powerful force in the context of the Norman Conquest, allowing the abbot to be employed on royal service and ultimately gain a place in the House of Lords. This shift also contributed to the Benedictines' identification with secular and upper-class life, influencing the administration of great landed properties and reflecting broader concerns of the English gentry in the High and Late Middle Ages. Additionally, the abbey became a significant political and economic center within its region, playing a crucial role in the development and prosperity of the surrounding town.""]",0
Beer,In which century were hops first widely cultivated for making beer?,the thirteenth century,['Hops were first widely cultivated for making beer in the thirteenth century.'],7
United_States_dollar,"How did the word ""taler"" translate into Italian?",tallero,"['The word ""taler"" translated into Italian as ""tallero.""']",8
"Ann_Arbor,_Michigan",Which districts compose mostly of 2-4 story structures?,commercial districts,"['The provided contexts do not explicitly mention specific districts composed mostly of 2-4 story structures. However, they do mention areas such as Uptown, which features a mix of high-rise buildings and possibly lower structures. Additionally, the context on ""Ann Arbor, Michigan"" notes that its residential neighborhoods contain a range of architectural styles, including 19th-century and early-20th-century designs, which could suggest that some parts of the city might have 2-4 story structures. For a definitive answer on specific districts, further information or context would be needed.']",3
Slavs,Who uses the Cyrillic alphabet?,The Orthodox,"['The Cyrillic alphabet is used by Orthodox Slavic ethnic groups, particularly for languages such as Russian, Serbian, Bulgarian, Ukrainian, and others. Additionally, the Montenegrin language also utilizes both Cyrillic and Latin alphabets.']",2
Boston,Lots of older buildings are supported by what?,wooden piles,"['Lots of older buildings are supported by stone and brick construction, which advanced building technology during the Middle Ages. These materials allowed for the creation of large stone buildings, such as cathedrals and castles. Additionally, many older structures, while they may appear to be made of solid stone, often utilize steel framing for support, as was commonly used in later constructions, such as those built in the early 20th century.']",0
Gamal_Abdel_Nasser,"What did the UK, France and Israel intend to do to Nasser?",topple,"['The UK, France, and Israel intended to take over the Suez Canal, occupy the Suez Canal zone, and topple Nasser.']",8
Palermo,What types of churches attract tourists to Palermo?,"Romanesque, Gothic and Baroque","['Tourists are attracted to Palermo for its renowned Romanesque, Gothic, and Baroque churches, which are notable for their artistic and architectural significance.']",8
Financial_crisis_of_2007%E2%80%9308,What is an example of a product Wall Street invented to answer the demand for income generating investments?,mortgage-backed security,['An example of a product Wall Street invented to answer the demand for income generating investments is the mortgage-backed security.'],8
Translation,What title did Georgius Gemistus Pletho carry?,Byzantine scholar,['Georgius Gemistus Pletho was a Byzantine scholar.'],8
"Fresno,_California",How many total acres is Woodward Park?,"['300 acres', '300']",['Woodward Park is a total of 300 acres (1.2 km²).'],8
Slavs,When were Slavic languages recognized as Indo-European?,As early as 1833,['Slavic languages were recognized as Indo-European as early as 1833.'],8
BBC_Television,What character was featured in the cartoon aired the day BBC broadcasting was restored?,Mickey Mouse,"['The cartoon that was aired when BBC broadcasting was restored on 1 October 1936 featured the character ""Tom and Jerry.""']",0
Flowering_plant,What is it the function of the flower to ensure fertilization of?,the ovule,['The function of the flower is to ensure fertilization of the ovule.'],3
Seattle,How often is the Seattle Poetry festival held?,biennial,['The Seattle Poetry Festival is held biennially.'],7
USB,"In all cases, both host-to-device and device-to-host configurations are what?",supported,"['In all cases, both host-to-device and device-to-host configurations are selectable and can be swapped under program control, particularly in the context of USB On-The-Go (OTG) functionality.']",2
Steven_Spielberg,When was Jaws released?,1975,"['Jaws was released on June 20, 1975.']",8
Yuan_dynasty,Who would have been the lowest-ranked class?,"['Han Chinese', 'the Han Chinese']","['The lowest-ranked class would have been those who held out against the Mongols the longest and eventually surrendered. This is described in the context where the ranking of classes was based on the date they surrendered to the Mongols—those who surrendered later were placed lower in rank. Therefore, the Southern Chinese, who withstood and fought before surrendering, would have likely been among the lowest-ranked classes due to their resistance.']",0
Queen_Victoria,What was the name of Victoria's King Charles Spaniel?,Dash,"['The context provided does not contain information about the name of Queen Victoria\'s King Charles Spaniel. However, it is known that her spaniel was named ""Dash.""']",8
Canadian_Armed_Forces,What do the Canadian Rangers safekeep?,Canada's exercise of sovereignty over its northern territory,"['The Canadian Rangers are responsible for safeguarding the sovereignty and security of Canada in remote and northern regions. They conduct various activities, including monitoring and reporting on local activities, participating in search and rescue operations, and assisting in national defense.']",7
Pitch_(music),Octaves in linear pitch are what size?,12,"['In linear pitch, octaves have a size of 12.']",8
Wood,"Along with fatty acids, what kind of acids are in the extractives in wood?",resin,"['Along with fatty acids, the extractives in wood also include resin acids.']",3
Dissolution_of_the_Soviet_Union,What position did Konayev hold in Kazakhstan prior to his removal?,First Secretary of the Communist Party,['Konayev held the position of First Secretary of the Communist Party of Kazakhstan prior to his removal.'],8
Chinese_characters,What has standardized character forms?,Chinese characters,"[""The standardization of character forms has been implemented through various lists and reforms, specifically in the context of Japanese kanji. The Japanese government established formal lists of characters including the 1850-character tōyō kanji list in 1945, the 1945-character jōyō kanji list in 1981, and a 2136-character reformed version of the jōyō kanji in 2010. Additionally, the Republic of China (Taiwan) has standardized character forms through the Ministry of Education's charts listing common and less common national characters. Moreover, Unicode serves as a computing industry standard for encoding and representing characters across different writing systems globally.""]",3
Northwestern_University,Where did actor Warren Beatty attend school?,Northwestern's School of Communication,['Warren Beatty attended Northwestern University.'],2
Antenna_(radio),What is also increased along with the antenna's height?,lobes,"[""The antenna's feedpoint impedance is increased along with the antenna's height. As the height of the antenna is increased, it approaches its asymptotic feedpoint impedance given by theory.""]",0
Chicago_Cubs,How long were the Cubs ran under the Wrigley family?,6 decades,"['The Cubs were owned and operated by the Wrigley family from 1921 until 1981, which totals 60 years.']",8
Central_African_Republic,What agreement gave the authority for deployment of military intervention?,The Bangui Agreements,"['The agreement that gave the authority for deployment of military intervention is known as the Authorization for Use of Military Force Against Terrorists (AUMF), which was enacted on 14 September 2001. This law authorized the President to use all necessary and appropriate force against those responsible for the 11 September 2001 attacks, as well as nations, organizations, or persons that planned, authorized, committed, or aided those attacks.']",0
Ctenophora,How does cooling of the local environment affect the mnemiopsis?,"[""significantly slowed the animal's metabolism"", ""slowed the animal's metabolism""]","['The cooling of the local environment from 1991 to 1993 significantly slowed the metabolism of the Mnemiopsis ctenophores, which helped to bring their populations under control. This reduction in metabolic activity likely contributed to a decrease in their reproduction and feeding rates, thereby mitigating their negative impact on the ecosystem, such as the decline in fish stocks due to their predation on fish larvae and small crustaceans.']",7
1973_oil_crisis,Which country is a traditional ally of Israel?,"['The UK', 'UK']",['The United States is a traditional ally of Israel.'],0
American_Idol,Which contestant had a fiancé that had suffered brain damage?,Chris Medina,['Chris Medina had a fiancé who suffered brain damage.'],3
2008_Sichuan_earthquake,How did the USGS rate the earthquake?,very disastrous,"['The USGS released a California Earthquake forecast which models earthquake occurrence in California, but the specific rating of the earthquake in question is not mentioned in the provided context.']",0
Super_Nintendo_Entertainment_System,How much data do the smallest SNES games use?,2 Mbit,['The smallest SNES games contain only 2 Mbit of ROM data.'],7
Cyprus,Which Turkish Cypriot writer has been nominated for the Nobel Prize in literature twice?,Osman Türkay,['Osman Türkay'],10
Professional_wrestling,What move did Tazz make popular?,Tazzmission,"['Tazz popularized the kata ha jime judo choke in professional wrestling, referring to it as the ""Tazzmission.""']",7
Beer,Who was believed to have added hops to beer in 1067?,Abbess Hildegard,['The use of hops in beer was believed to have been added by a monk named Hohenberg in 1067.'],0
Lighting,What is used to light walkways at night?,Street Lights,"['Walkway lighting typically involves the use of various lighting fixtures such as pathway lights, LED lights, bollard lights, or solar-powered lights that are designed to illuminate walkways at night for safety and visibility. Additionally, streetlights can also be used to light walkways, providing a broader area of illumination.']",3
Thuringia,"Why did the iron, copper and silver mines fail?",because the competition from imported metal was too strong,"[""The provided contexts do not give a specific reason for the failure of iron, copper, and silver mines. However, it can be inferred that the failure of such mines might be related to factors such as economic downturns, changes in market demand, competition from cheaper alternatives (like American cotton exports impacting Egyptian economy), and possibly depletion of resources or insufficient technological advancements for efficient extraction. It's also notable that copper metallurgy advanced with the discovery and smelting techniques, which could indicate that if not adapted, older mines might have failed due to a lack of innovation or investment.""]",3
Rhine,How many bodies of water makes up Lake Constance?,"['three', 'three bodies of water']","['Lake Constance consists of three bodies of water: the Obersee (upper lake), the Untersee (lower lake), and a connecting stretch of the Rhine called the Seerhein (Lake Rhine).']",7
2008_Sichuan_earthquake,What were all these tents and quilts for?,those left homeless,"['The tents mentioned were primarily used by the United States Army as temporary barracks for sleeping quarters, dining facilities, forward operating bases, and other military functions during deployment. They provided essential facilities for soldiers while stationed away from permanent bases. \n\nThe quilts referenced in the context of Liberia served as examples of the rich textile arts and quilting traditions brought by settlers. They were not only functional items for warmth and comfort but also held cultural significance, as demonstrated by the presentation of a quilt to Queen Victoria. This highlights the art and skill involved in quilt-making within the Liberian context and the importance of these items in expressing cultural identity and heritage.']",0
Rhine,When was the Rhine crisis?,1840,['The Rhine crisis occurred in 1840.'],8
Dutch_Republic,What was the main subject of controversy that arose within the Reformed Church during the beginning of the Republic?,predestination,"['The main subject of controversy that arose within the Reformed Church during the beginning of the Dutch Republic was the issue of religious conformity and the relationship between the state and different religious denominations. In the Republic, individuals wishing to hold public office were required to adhere to the Reformed Church, and there were instances of persecution against other religions, particularly Roman Catholics, as the Reformed Church became the established or ""privileged"" church. This created tensions regarding personal and public religious freedoms, as well as the varying degrees of acceptance or persecution of different faiths depending on regional and city leadership.']",2
Transistor,What is a ball grid array composed of?,"solder ""balls"" on the underside in place of leads","['A ball grid array (BGA) is a type of surface-mount packaging used for integrated circuits. It is composed of a semiconductor chip mounted on a polymer or ceramic substrate, featuring solder balls arranged in a grid pattern on the underside of the package instead of leads. These solder balls serve as the connection points to the printed circuit board (PCB).']",9
Queen_Victoria,"During her free time, what did she play with?",dolls,"['During her free time, Victoria played with her dolls and her King Charles spaniel, Dash.']",3
Yuan_dynasty,Who was the Karluk Kara-Khanid ruler ranked above?,"['Korean King', 'the Korean King']","['The text does not provide a specific name for the Karluk Kara-Khanid ruler ranked above others. However, it does mention that the Kara-Khanid Khanate conquered Transoxania and ruled the region between 999–1211, indicating that their rulers held significant authority during that time. If you are looking for a specific historical figure, it may refer to the general leadership of the Kara-Khanid dynasty, but the details about an individual ruler are not included in the provided context.']",0
Plymouth,Who set fire to Plymouth in 1403?,Breton raiders,['Breton raiders set fire to Plymouth in 1403.'],7
Police,What problems did Sheptycki say 'organizational pathologies' have caused for police?,make the functioning of security-intelligence processes in transnational policing deeply problematic,"[""James Sheptycki argued that 'organizational pathologies' in transnational policing have led to deeply problematic functioning of security-intelligence processes. He suggested that these issues hinder effective police information sharing and intelligence exchange, complicating efforts to produce security. As a result, the more policing agencies strive to enhance security, the more challenges and inefficiencies arise within their operations, contributing to a paradoxical increase in perceived insecurity.""]",9
2008_Sichuan_earthquake,What famous basketball player made two large donations to the crisis?,Yao Ming,"['The famous basketball player who made significant donations to the crisis is Jackie Chan, who donated $1.57 million to the victims of the 2008 Sichuan earthquake.']",0
John_Kerry,Who was Kerry's paternal grandmother?,Ida Lowe,"[""Kerry's paternal grandmother was Ida Lowe.""]",8
Georgian_architecture,What year did Georgian architecture begin to be abandoned?,1840,"['Georgian architecture began to be abandoned around the early 19th century, as it was current from 1714 to 1830, indicating that the style was dominant until approximately 1830.']",2
Buckingham_Palace,Which rooms are used for less formal entertaining such as luncheons or private audiences?,the semi-state apartments,"['The rooms used for less formal entertaining, such as luncheon parties and private audiences, include the 1844 Room, the 1855 Room, and the Bow Room.']",3
Saint_Helena,What was there a long pattern of from the island starting during the post Napoleonic period?,emigration,['There was a long pattern of migration from the island starting during the post-Napoleonic period.'],7
Cyprus,"What is the rating for Cyprus in the ""Freedom in the World 2011"" report?",free,"['In the ""Freedom in the World 2011"" report, Cyprus was rated as ""free.""']",7
Digestion,What is one molecule of fat?,a triglyceride,"['One molecule of fat typically consists of several fatty acids bonded to a glycerol, forming what is known as a triglyceride.']",7
Switzerland,What sources of energy does Switzerland heavily rely on?,renewable,"['Switzerland heavily relies on renewable energy sources, particularly hydropower, as well as other renewable resources for its energy supply. The country has supported initiatives to reduce energy consumption and emphasize sustainability in energy use.']",5
"St._John%27s,_Newfoundland_and_Labrador",What is the foggiest Canadian city?,St. John's,"[""The foggiest Canadian city is St. John's, which experiences fog on average for 124 days a year.""]",7
Arsenal_F.C.,What early team copied the Arsenal's red current color in 1909?,Sparta Prague,['Sparta Prague adopted a dark red kit like the one Arsenal wore at the time in 1909.'],3
Affirmative_action_in_the_United_States,What was the purpose of Title VII of the Civil Rights Act?,to end discrimination in all firms with 25 or more employees,"['The purpose of Title VII of the Civil Rights Act was to prohibit discrimination in the workplace based on race, color, religion, sex, or national origin. It aimed to encourage hiring based on ability and qualifications rather than discriminatory factors and established the Equal Employment Opportunity Commission (EEOC) to enforce these protections in firms with 25 or more employees.']",7
Han_dynasty,How many dragons were represented in Zhang Heng's invention of the seismometer?,eight,"[""Zhang Heng's seismometer represented eight dragons, with each dragon mouth indicating one of the eight cardinal or ordinal directions.""]",3
Roman_Republic,Why did Julius Caesar wish to invade Gaul?,would give him the dramatic military success he sought,"['Julius Caesar wished to invade Gaul in order to achieve dramatic military success, which he sought to enhance his reputation and power. He found a barely sufficient excuse to launch his Gallic Wars when two local tribes began to migrate near the Roman province of Transalpine Gaul, providing him with the justification he needed for the invasion.']",8
