title,question,expected_answer,generated_answer,is_similar
Frédéric_Chopin,"Who said Chopin's works were modeled after Bach, Beethoven, Schubert and Field?",Richard Taruskin,"['Richard Taruskin commented that Chopin ""consciously modelled his works on the tradition of Bach, Beethoven, Schubert and Field.""']",5
Szlachta,WHo would pay for expenses during travels or the royal courts?,the king and the court,"['Expenses during travels or the royal courts would typically be paid by the monarchy or the royal household. This includes costs associated with state visits, court functions, and other official duties. In the context of historical royal practices, funding would come from the royal finances, which could include income from royal lands, taxation, and other sources of revenue associated with the crown. In modern times, aspects of such expenses may also be covered by public funds or through specific government allocations.']",3
Hellenistic_period,What years were the Roman–Parthian Wars?,66 BC – 217 AD,['The Roman–Parthian Wars took place from 66 BC to 217 AD.'],8
Adult_contemporary_music,At the end of what decade did the Hot 100 and Easy Listening charts begin to converge?,1960s,['The Hot 100 and Easy Listening charts began to converge at the end of the 1960s.'],7
The_Legend_of_Zelda:_Twilight_Princess,When were track versions of the game's sountrack released?,"November 19, 2006","[""The six- and seven-track versions of the game's soundtrack were released on November 19, 2006.""]",9
Capital_punishment_in_the_United_States,In what year did the American Law Institute change their mind about their contribution on the death penalty to the Model Penal Code?,2009,"['In October 2009, the American Law Institute voted to disavow the framework for capital punishment that it had created in 1962, as part of the Model Penal Code.']",5
Mexico_City,How many days a week does the city encourage people to go without a car?,two days,['The city encourages people to go without a car for two days of the week.'],5
Association_football,In what year did an incident help introduce added time?,1891,['The incident that helped introduce added time occurred in the year 1891.'],7
Egypt,Who took control of Egypt in 525 BC?,Achaemenid Persians,"['Cambyses II, the powerful Achaemenid Persian ruler, took control of Egypt in 525 BC.']",7
Buddhism,"According to Genshin, who has the power to destroy karma?",Amitābha,"['According to Genshin, Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.']",3
Mary_(mother_of_Jesus),Who was Aaron's wife?,Elisheba,"[""Aaron's wife was Elisheba.""]",7
Clothing,What habitat is the body louse specific to?,clothing,"['The body louse is specific to clothing, as it requires human clothing to survive.']",7
Korean_War,What two areas was Korea divided into?,Soviet and U.S. occupation zones,['Korea was divided into North Korea and South Korea along the 38th parallel.'],5
Queen_Victoria,"In 1889, what was Victoria the first reining monarch from Britian to do?",set foot in Spain,"['In 1889, Queen Victoria was the first reigning monarch from Britain to visit the German Empire, specifically for the inaugural celebration of the 1889 Exposition Universelle in Paris, which showcased advances in technology and culture.']",0
Boston,Most of the city lies in which USDA plant hardiness zone?,6b,['Most of the city lies in USDA Hardiness zone 6b.'],8
Karl_Popper,How did Popper feel about Marxism after only a short time associating with other Marxists?,disillusioned,"['Karl Popper initially felt attracted to Marxism and was impressed by it. However, after a significant event in 1919, when police shot several unarmed people during a riot instigated by Communists, including some of his friends, he became disillusioned with Marxism. This experience led him to reject Marxist historicism, which he criticized for questionable means, and he later associated socialism with placing equality before freedom.']",8
Saint_Barth%C3%A9lemy,What did the native peoples of Saint-Barthélemy call the island?,Ouanalao,['The indigenous people called the island Ouanalao.'],7
Strasbourg,The traffic coming west of the city is from where?,unité urbaine,"['The traffic coming west of the city is from Ann Arbor, where I-94 continues to Chicago.']",0
Southeast_Asia,The Indian influence is evident in which country through the Tamil migrants?,Singapore,['The Indian influence is evident in Singapore through the Tamil migrants.'],2
House_music,what record labels helped popularize house music?,Trax Records and DJ International Records,"['Independent Chicago-based record labels such as Trax Records and KMS Records, as well as influential UK labels like Warp Records and Network Records, helped popularize house music.']",3
Premier_League,How many games did BT show in 2013-16?,BT had been awarded 38 games a season for the 2013–14 through 2015–16 seasons at £246 million-a-year.,['BT showed 38 games per season for the 2013–14 through 2015–16 seasons. This totals 114 games (38 games x 3 seasons).'],6
FC_Barcelona,When did Barcelona win the Spanish League?,23 June 1929,['Barcelona won the Spanish League (La Liga) during the 2008–09 season and again in the 2010–11 season. They were crowned champions for the 22nd time on 11 May 2013.'],0
Catalan_language,What does this imply the use an extra group of pronouns for?,formality,"['The use of an extra group of pronouns implies the T–V distinction, which is a feature indicating formality in communication. This means that different sets of second person pronouns are used to convey varying levels of formality or familiarity between the speaker and the listener.']",7
Greece,What three countries sent their Navy to Greece?,"Russia, the United Kingdom and France","['The three countries that sent their Navy to Greece were Russia, the United Kingdom, and France.']",9
Roman_Republic,After what war did the alliances start to solidify?,Second Punic War,"[""The alliances started to solidify after the Seven Years' War.""]",0
Molotov%E2%80%93Ribbentrop_Pact,How long after the annexation of Kresy was the amendment made?,Eleven days,"['The contexts provided do not include specific information about the annexation of Kresy or any subsequent amendments related to it. Therefore, I am unable to determine how long after the annexation of Kresy the amendment was made. If you can provide more details or a specific context regarding the annexation and amendment you are referring to, I would be happy to help!']",0
Labour_Party_(UK),When did Labour publish a new draft manifesto?,1996,['The Labour Party published a new draft manifesto in 2019.'],0
General_Electric,Which city was the home of GE's first headquarters?,Schenectady,"['The first headquarters of General Electric (GE) was located in Schenectady, New York.']",7
Lighting,What kind of tube are the movie theaters lights enclosed in?,translucent tube,"['The context provided does not specifically mention the type of tube used to enclose movie theater lights. However, commonly, movie theater lights, especially when using fluorescent or certain types of high-intensity discharge (HID) lighting, are enclosed in glass tubes. If the theaters use incandescent lighting, those bulbs are typically not enclosed in tubes but rather have a glass bulb design. For more modern setups, LEDs may be used, which can also be housed in various types of fixtures.']",2
Frédéric_Chopin,What year was Chopin born?,1810,['Chopin was born in 1810.'],5
Hunting,Approximately how many sport hunters applied for hunting licences in recent years?,"12,000","['Approximately 12,000 sport hunters applied for hunting licences in recent years in Trinidad and Tobago.']",7
"Tucson,_Arizona",When does El Tour de Tucson happen?,in November on the Saturday before Thanksgiving,['El Tour de Tucson happens in November on the Saturday before Thanksgiving.'],10
List_of_numbered_streets_in_Manhattan,What name did 3rd Street previously hold?,Amity Place,['3rd Street was formerly known as Amity Place.'],7
Houston,What city is the most diverse in Texas?,Houston,['Houston is the most diverse city in Texas.'],3
God,How does Alvin Plantinga describe faith?,"""properly basic""","['Alvin Plantinga describes faith as ""properly basic,"" meaning that it is a foundational belief that does not necessarily require evidence or arguments to be justified. He suggests that faith can be a rational belief that is grounded in a person\'s experiences and understanding, rather than merely being a product of reason.']",8
Prime_number,What is the name of one algebraic generalization prime numbers have inspired?,"['prime elements', 'prime ideals']","['One algebraic generalization that prime numbers have inspired is ""prime ideals.""']",3
Super_Nintendo_Entertainment_System,Where was the Super Game Boy 2 released?,Japan,['The Super Game Boy 2 was released exclusively in Japan.'],7
Capacitor,What device can be used to discharge large voltage capacitors?,a Brinkley stick,['A Brinkley stick can be used to discharge large voltage capacitors.'],3
Mexico_City,Where is the house that Leon Trotsky was murdered?,Coyoacán,"['Leon Trotsky was murdered in Mexico City, Mexico.']",2
University_of_Kansas,What is the name of an online resource that was created into provide a resource about KU?,KUpedia,"['The name of the online resource that was created to provide information about the University of Kansas (KU) is the ""Wayback Machine.""']",0
Nintendo_Entertainment_System,What was installed on the front of the console so the joystick could be used?,15-pin expansion port,['A 15-pin expansion port was installed on the front of the console so that an arcade-style joystick could be used.'],8
Saint_Helena,Who gave up calling at the island due to attacks on their shipping?,The Portuguese and Spanish,"['The context provided does not specify a particular entity or group that gave up calling at the island due to attacks on their shipping. However, it alludes to the challenges faced by Japanese convoys, which were termed ""Tokyo Express"" by the Allies, implying that Japanese forces were under significant threat and possibly withdrawing from or reducing their risk in certain areas due to enemy actions. Therefore, the answer could suggest that Japanese shipping routes were affected by the attacks, but a specific group or entity is not clearly indicated in the text.']",0
Dog,How many people in the United States are said to own dog?,77.5 million,"[""The provided contexts do not contain specific statistics or data about how many people in the United States own dogs. Therefore, I'm unable to provide an answer to the question based on the given information.""]",0
Bermuda,Why is there a debate as to dubbing the diamondback terrapin the oldest indigenous land vertebrate?,this species spends most of its time in brackish ponds,"[""The debate regarding the classification of the diamondback terrapin as the oldest indigenous land vertebrate of Bermuda arises from recent genetic DNA studies that revealed it pre-dated the arrival of humans in the archipelago. However, some scientists question whether the terrapin should be classified as a land vertebrate, as it primarily spends its time in brackish ponds, which complicates its status compared to the Bermuda rock skink, which was previously thought to be the only indigenous land vertebrate. This uncertainty about the terrapin’s habitat and classification leads to ongoing discussions about its place in Bermuda's indigenous fauna.""]",3
Hunter-gatherer,What has been humans' best adaptation in food production?,Hunting and gathering,"[""Humans' best adaptation in food production has been the development of agriculture, which allowed for the cultivation of staple crops such as maize, rice, and wheat. This transition from a hunter-gatherer lifestyle to settled farming communities enabled the domestication of plants and animals, leading to increased food security and the ability to support larger populations. Additionally, advancements in agricultural techniques, such as selective breeding, irrigation, and soil management, have further enhanced food production and enabled societies to thrive.""]",0
Arsenal_F.C.,What has the color of the Arsenal  home shirts been?,bright red,['The color of the Arsenal home shirts has primarily been red with white sleeves.'],2
Bermuda,"What is the Olympic tradition for Bermuda, regardless of season?",march in the Opening Ceremony in Bermuda shorts,"['The Olympic tradition for Bermuda is to march in the Opening Ceremony in Bermuda shorts, regardless of whether it is a summer or winter Olympic celebration.']",9
San_Diego,Who did Inzunza and Zucche accept money from?,a strip club owner and his associates,['Inzunza and Zucchet accepted money from a strip club owner and his associates.'],8
Film_speed,What is denoted when the specified contrast condition is met?,"The exposure Hm, in lux-s","['When the specified contrast condition is met, it denotes the exposure Hm, in lux-s, that is established for point m.']",7
Supreme_court,What document grants the Philippines Supreme Court the right of judicial review?,1987 Philippine Constitution,['The 1987 Philippine Constitution explicitly grants the Supreme Court the power of judicial review over laws and executive actions.'],5
Westminster_Abbey,What did changing the status of the abbey create?,the Diocese of Westminster,"['Changing the status of the abbey created a remarkable degree of identification with the secular life of the times, particularly with upper-class life. This transformation allowed the Benedictines, once focused primarily on spiritual leadership, to engage more in the administration of vast landed properties and other secular roles, leading to their significant involvement in the local economy and social structure. As a result, the abbey became intertwined with the concerns of the English gentry during the High and Late Middle Ages, influencing both the cultural and economic dynamics of the surrounding community.']",0
Beer,In which century were hops first widely cultivated for making beer?,the thirteenth century,['Hops were first widely cultivated for making beer in the thirteenth century.'],7
United_States_dollar,"How did the word ""taler"" translate into Italian?",tallero,"['The word ""taler"" translated into Italian as ""tallero."" The term ""taler"" originated from the Joachimstaler coins minted in the 16th century and was eventually adopted in various languages, including Italian.']",7
"Ann_Arbor,_Michigan",Which districts compose mostly of 2-4 story structures?,commercial districts,"['The context does not provide specific information about districts composed mostly of 2-4 story structures. It predominantly discusses high-rise buildings, architectural styles, and historical events in various locations. For an accurate answer, further information about specific districts and their architectural characteristics would be needed.']",0
Slavs,Who uses the Cyrillic alphabet?,The Orthodox,"['The Cyrillic alphabet is used by several Slavic ethnic groups, particularly by those who are Orthodox Christians. Specifically, the following languages use the Cyrillic alphabet: Belarusian, Bulgarian, Russian, Serbian, Montenegrin, and Ukrainian. Additionally, some Greek Roman Catholics also use the Cyrillic alphabet.']",2
Boston,Lots of older buildings are supported by what?,wooden piles,"['Many older buildings are supported by solid stone foundations and structural elements such as load-bearing walls, columns, and arches. In particular, Gothic architecture often utilizes pointed arches and ribbed vaults to distribute weight effectively. Additionally, older buildings may use materials like brick, wood, and mortar, which have stood the test of time when properly maintained.']",2
Gamal_Abdel_Nasser,"What did the UK, France and Israel intend to do to Nasser?",topple,"[""The UK, France, and Israel intended to intervene militarily against Nasser following his nationalization of the Suez Canal. They made a secret agreement to take control of the Suez Canal, occupy the Suez Canal zone, and topple Nasser's government.""]",3
Palermo,What types of churches attract tourists to Palermo?,"Romanesque, Gothic and Baroque","['Tourists are attracted to Palermo for its renowned Romanesque, Gothic, and Baroque churches. These churches are notable for their architectural styles and cultural significance, making them popular destinations for visitors to the city.']",7
Financial_crisis_of_2007%E2%80%9308,What is an example of a product Wall Street invented to answer the demand for income generating investments?,mortgage-backed security,['An example of a product Wall Street invented to answer the demand for income-generating investments is the mutual fund.'],2
Translation,What title did Georgius Gemistus Pletho carry?,Byzantine scholar,['Georgius Gemistus Pletho was known as a Byzantine scholar.'],8
"Fresno,_California",How many total acres is Woodward Park?,"['300 acres', '300']",['Woodward Park is a total of 300 acres.'],8
Slavs,When were Slavic languages recognized as Indo-European?,As early as 1833,"['Slavic languages, as part of the Indo-European family, were recognized as such in the context of historical and linguistic studies that identified their roots in the broader Indo-European language family. Proto-Slavic is understood to be a descendant of Proto-Indo-European, and this recognition has evolved over time as linguists studied language development. The classification of Slavic languages within Indo-European was solidified as early as the 19th century, building on earlier scholarly work on comparative linguistics.']",3
BBC_Television,What character was featured in the cartoon aired the day BBC broadcasting was restored?,Mickey Mouse,"['The character featured in the cartoon aired the day BBC broadcasting was restored was ""Sooty.""']",0
Flowering_plant,What is it the function of the flower to ensure fertilization of?,the ovule,['The function of the flower is to ensure fertilization of the ovule.'],3
Seattle,How often is the Seattle Poetry festival held?,biennial,"['The Seattle Poetry Festival is held biennially, meaning it takes place every two years.']",8
USB,"In all cases, both host-to-device and device-to-host configurations are what?",supported,"['In all cases, both host-to-device and device-to-host configurations are bi-directional.']",0
Steven_Spielberg,When was Jaws released?,1975,['Jaws was released in 1975.'],8
Yuan_dynasty,Who would have been the lowest-ranked class?,"['Han Chinese', 'the Han Chinese']","['The lowest-ranked class would have been those who held out the longest against the Mongols in the context provided. Specifically, the Southern Chinese were ranked lower because they withstood and fought to the last before surrendering to the Mongols.']",0
Queen_Victoria,What was the name of Victoria's King Charles Spaniel?,Dash,"[""The context provided does not mention the name of Queen Victoria's King Charles Spaniel. Therefore, I cannot provide an answer based on the given information.""]",0
Canadian_Armed_Forces,What do the Canadian Rangers safekeep?,Canada's exercise of sovereignty over its northern territory,"[""The Canadian Rangers safekeep and protect Canada's sovereignty in remote and isolated regions, primarily in the North. They also support Canadian Forces operations and participate in various community programs, particularly in Indigenous and Northern communities.""]",7
Pitch_(music),Octaves in linear pitch are what size?,12,"['In linear pitch, octaves have a size of 12.']",8
Wood,"Along with fatty acids, what kind of acids are in the extractives in wood?",resin,"['Along with fatty acids, the extractives in wood also contain resin acids.']",3
Dissolution_of_the_Soviet_Union,What position did Konayev hold in Kazakhstan prior to his removal?,First Secretary of the Communist Party,['Konayev held the position of First Secretary of the Communist Party of Kazakhstan prior to his removal.'],8
Chinese_characters,What has standardized character forms?,Chinese characters,"['Unicode has standardized character forms through its comprehensive encoding system, which includes mechanisms for modifying character shape and supporting a wide range of characters from modern and historic scripts.']",2
Northwestern_University,Where did actor Warren Beatty attend school?,Northwestern's School of Communication,"['The provided contexts do not mention Warren Beatty or the specific school he attended. Therefore, based on this information, I cannot provide an answer to where Warren Beatty attended school. However, it is known from external sources that he attended Northwestern University.']",3
Antenna_(radio),What is also increased along with the antenna's height?,lobes,"[""The antenna's feedpoint impedance is increased along with the antenna's height. As the antenna height is increased, the reduced power of the reflected wave allows the antenna to approach its asymptotic feedpoint impedance as predicted by theory.""]",0
Chicago_Cubs,How long were the Cubs ran under the Wrigley family?,6 decades,"['The Cubs were ran under the Wrigley family for approximately 60 years, from 1921 until 1981.']",9
Central_African_Republic,What agreement gave the authority for deployment of military intervention?,The Bangui Agreements,['The agreement that gave the authority for deployment of military intervention is the UN Security Council resolution to authorize the use of force.'],2
Ctenophora,How does cooling of the local environment affect the mnemiopsis?,"[""significantly slowed the animal's metabolism"", ""slowed the animal's metabolism""]","['The cooling of the local climate from 1991 to 1993 significantly slowed the metabolism of Mnemiopsis, the introduced ctenophore in the Black Sea. This reduction in metabolic rate contributed to controlling the population of Mnemiopsis, which had previously increased rapidly due to various factors, including overfishing and the absence of efficient predators. However, despite this cooling effect, the abundance of plankton in the area is unlikely to be restored to pre-Mnemiopsis levels.']",7
1973_oil_crisis,Which country is a traditional ally of Israel?,"['The UK', 'UK']",['The United States is a traditional ally of Israel.'],0
American_Idol,Which contestant had a fiancé that had suffered brain damage?,Chris Medina,['The contestant who had a fiancé that suffered brain damage is Chris Medina.'],8
2008_Sichuan_earthquake,How did the USGS rate the earthquake?,very disastrous,['The USGS rated the earthquake as a magnitude 8.0 event.'],3
Super_Nintendo_Entertainment_System,How much data do the smallest SNES games use?,2 Mbit,['The smallest SNES games contain only 2 Mbit of ROM data.'],7
Cyprus,Which Turkish Cypriot writer has been nominated for the Nobel Prize in literature twice?,Osman Türkay,"['The context provided does not mention any Turkish Cypriot writer who has been nominated for the Nobel Prize in literature twice. Therefore, I cannot provide a specific name based on the available information.']",0
Professional_wrestling,What move did Tazz make popular?,Tazzmission,"['Tazz made the ""Tazzplex,"" a suplex maneuver, popular in professional wrestling.']",2
Beer,Who was believed to have added hops to beer in 1067?,Abbess Hildegard,['Abbess Hildegard of Bingen is believed to have added hops to beer in 1067.'],7
Lighting,What is used to light walkways at night?,Street Lights,"['Light-emitting diodes (LEDs) are commonly used to light walkways at night due to their energy efficiency and functionality. They can be installed in various fixtures such as pathway lights, bollard lights, and other outdoor lighting solutions to provide illumination for safety and visibility.']",2
Thuringia,"Why did the iron, copper and silver mines fail?",because the competition from imported metal was too strong,"['The iron, copper, and silver mines failed primarily due to economic mismanagement and the inability to adapt to market changes. In the case of copper metallurgy, while its commercial production did not start until the early 20th century, earlier mining operations may have collapsed because of outdated techniques and the slow development of metallurgy in various regions around the world. Additionally, mines could become economically unviable due to poor ore quality, as even commercially significant ores like copper often contain only a small percentage of the metal, necessitating substantial investment to extract it. \n\nMoreover, the broader context of economic decline in regions reliant on these industries, such as the situation in Egypt mentioned in the context (which faced a declaration of bankruptcy due to financial mismanagement and dependence on foreign investment), reflects a systemic issue that could also impact mining operations. Insufficient infrastructure, competition from more efficient producers, rising operational costs, and shifting global markets further exacerbated the challenges faced by iron, copper, and silver mines, often leading them to fail or face severe economic difficulties.']",3
Rhine,How many bodies of water makes up Lake Constance?,"['three', 'three bodies of water']","['Lake Constance is made up of three main bodies of water: Upper Lake, Mainau Lake, and Lake Überlingen.']",7
2008_Sichuan_earthquake,What were all these tents and quilts for?,those left homeless,"['The tents were primarily used by the military for various facilities needed during deployments, serving as temporary barracks or sleeping quarters. The quilts, particularly in the context of Liberia, were part of the textile arts brought by settlers, showcasing sewing and quilting skills, as well as being culturally significant items, such as the quilt presented to Queen Victoria by Liberian quilter Martha Ann Ricks. Both tents and quilts served practical purposes: tents provided shelter and protection for military personnel, while quilts offered comfort and warmth, often symbolizing cultural heritage and artistry.']",0
Rhine,When was the Rhine crisis?,1840,['The Rhine crisis occurred in 1840.'],8
Dutch_Republic,What was the main subject of controversy that arose within the Reformed Church during the beginning of the Republic?,predestination,"['The main subject of controversy that arose within the Reformed Church during the beginning of the Dutch Republic was the requirement for any person wishing to hold public office to conform to the Reformed Church and take an oath to this effect. The extent of persecution against different religions, particularly Roman Catholics, varied depending on the time period and the regional or city leaders, leading to debates and conflicts regarding religious freedom and the treatment of non-Reformed denominations.']",0
Transistor,What is a ball grid array composed of?,"solder ""balls"" on the underside in place of leads",['A ball grid array (BGA) is a type of surface-mount package for large integrated circuits. It is composed of solder balls arranged in a grid pattern on the underside of the package. These solder balls act as electrical connections to the printed circuit board (PCB) when soldered onto it. The BGA design allows for efficient thermal and electrical performance due to the short interconnections between the package and the PCB.'],7
Queen_Victoria,"During her free time, what did she play with?",dolls,"['During her free time, she played with her dolls and her King Charles spaniel, Dash.']",3
Yuan_dynasty,Who was the Karluk Kara-Khanid ruler ranked above?,"['Korean King', 'the Korean King']","['The context does not provide specific information about the ranking of the Karluk Kara-Khanid ruler or who they were ranked above. It primarily discusses the historical context of various empires, dynasties, and rulers without detailed mention of the specific rankings within the Kara-Khanid structure. Thus, the answer is not available in the provided text.']",0
Plymouth,Who set fire to Plymouth in 1403?,Breton raiders,['The town of Plymouth was burned by Breton raiders in 1403.'],7
Police,What problems did Sheptycki say 'organizational pathologies' have caused for police?,make the functioning of security-intelligence processes in transnational policing deeply problematic,"['James Sheptycki analyzed the effects of new information technologies on the organization of policing-intelligence and suggested that \'organizational pathologies\' have made the functioning of security-intelligence processes in transnational policing deeply problematic. Specifically, he argued that these pathologies contribute to issues in transnational police information circuits, which help to ""compose the panic scenes of the security-control society."" This implies that the more policing agencies work to produce security, the more problematic the overall effectiveness and accountability of transnational policing becomes.']",9
2008_Sichuan_earthquake,What famous basketball player made two large donations to the crisis?,Yao Ming,"['The famous basketball player who made a large donation to the crisis is not explicitly named in the provided contexts. However, it is mentioned that Hong Kong actor Jackie Chan donated $1.57 million to the victims of the 2008 Sichuan earthquake, as well as details about fundraising efforts. If you are referring to a specific basketball player who is known for making donations during crises, please provide more context or specify the event, as the text does not clearly address this.']",0
John_Kerry,Who was Kerry's paternal grandmother?,Ida Lowe,"[""Kerry's paternal grandmother was Ida Lowe.""]",8
Georgian_architecture,What year did Georgian architecture begin to be abandoned?,1840,"['Georgian architecture began to be abandoned around the early 19th century, specifically after the Georgian period, which is generally considered to have lasted until 1830. The style was eventually replaced by other architectural movements, including the Victorian and Gothic Revival styles.']",2
Buckingham_Palace,Which rooms are used for less formal entertaining such as luncheons or private audiences?,the semi-state apartments,"['The rooms used for less formal entertaining, such as luncheon parties and private audiences, are known as the semi-state apartments. Specific rooms mentioned include the 1844 Room and the 1855 Room, along with the Bow Room at the center of this suite.']",8
Saint_Helena,What was there a long pattern of from the island starting during the post Napoleonic period?,emigration,['There was a long pattern of migration from the island starting during the post Napoleonic period.'],7
Cyprus,"What is the rating for Cyprus in the ""Freedom in the World 2011"" report?",free,"['In the ""Freedom in the World 2011"" report, Cyprus received a rating of 1 (on a scale where 1 represents the highest level of freedom and 7 the lowest).']",3
Digestion,What is one molecule of fat?,a triglyceride,"['A molecule of fat typically consists of several fatty acids bonded to a glycerol molecule. They are usually found as triglycerides, which are formed by three fatty acids attached to one glycerol backbone.']",7
Switzerland,What sources of energy does Switzerland heavily rely on?,renewable,"['Switzerland heavily relies on manufacturing and the production of specialist chemicals, health and pharmaceutical goods, scientific and precision measuring instruments, and musical instruments for its economy. In terms of energy, Switzerland utilizes a mix of hydroelectric power, alongside the resources of wind and solar power, which are being developed as cost-effective renewable sources. Additionally, as mentioned in the context regarding nuclear energy, Switzerland has previously relied on nuclear power, although the development of new nuclear plants is currently on hold.']",4
"St._John%27s,_Newfoundland_and_Labrador",What is the foggiest Canadian city?,St. John's,"[""The foggiest Canadian city is St. John's, Newfoundland and Labrador, experiencing an average of 124 foggy days per year.""]",8
Arsenal_F.C.,What early team copied the Arsenal's red current color in 1909?,Sparta Prague,['Sparta Prague adopted a dark red kit similar to the one Arsenal wore at the time in 1909.'],3
