title,question,expected_answer,generated_answer,is_similar
51st_state,What percentage of voters rejected the status of territory?,54 percent,['54 percent of voters rejected the current status under the territorial clause of the U.S. Constitution.'],7
On_the_Origin_of_Species,What was chapter VII entitled?,Miscellaneous objections,"['The provided context does not mention the title of chapter VII. Therefore, I am unable to answer the question based on the information given. If you have a specific text or book in mind, please provide more details.']",0
Arena_Football_League,When was free agency scheduled to begin after the delay?,December 11,['Free agency was scheduled to begin on December 4 after the delay.'],2
Frédéric_Chopin,"Who said Chopin's works were modeled after Bach, Beethoven, Schubert and Field?",Richard Taruskin,"['Richard Taruskin commented that Chopin ""felt his Polish patriotism deeply and sincerely"" but consciously modeled his works on the tradition of Bach, Beethoven, Schubert, and Field.']",3
Szlachta,WHo would pay for expenses during travels or the royal courts?,the king and the court,"['Expenses during travels or royal courts would typically be covered by the royal finances, which come from various sources including income generated from royal properties, taxation, and other royal revenues. In the context of the monarchy, these expenses would be managed and allocated by the royal household, reflecting the financial structure and resources available to support royal activities.']",2
Hellenistic_period,What years were the Roman–Parthian Wars?,66 BC – 217 AD,['The Roman–Parthian Wars occurred from 66 BC to 217 AD.'],9
Adult_contemporary_music,At the end of what decade did the Hot 100 and Easy Listening charts begin to converge?,1960s,['The Hot 100 and Easy Listening charts began to converge at the end of the 1960s.'],7
The_Legend_of_Zelda:_Twilight_Princess,When were track versions of the game's sountrack released?,"November 19, 2006","[""The track versions of the game's soundtrack were released on November 19, 2006.""]",8
Capital_punishment_in_the_United_States,In what year did the American Law Institute change their mind about their contribution on the death penalty to the Model Penal Code?,2009,['The American Law Institute changed their mind about their contribution on the death penalty to the Model Penal Code in 2009.'],3
Mexico_City,How many days a week does the city encourage people to go without a car?,two days,"['The city encourages people to go without a car for one day a week, as indicated by the environmental program called Hoy No Circula, which translates to ""Today Does Not Run.""']",0
Association_football,In what year did an incident help introduce added time?,1891,['The incident that helped introduce added time occurred in the year 1891.'],7
Egypt,Who took control of Egypt in 525 BC?,Achaemenid Persians,"['The powerful Achaemenid Persians, led by Cambyses II, took control of Egypt in 525 BC.']",7
Buddhism,"According to Genshin, who has the power to destroy karma?",Amitābha,"['The provided context does not contain specific information regarding Genshin Impact or any character associated with the power to destroy karma. Therefore, I cannot answer the question based on the given text.']",0
Mary_(mother_of_Jesus),Who was Aaron's wife?,Elisheba,"[""Aaron's wife was Elisheba.""]",7
Clothing,What habitat is the body louse specific to?,clothing,"['The body louse is specifically adapted to live in human clothing and on human skin. It is a parasitic insect that primarily inhabits the seams and folds of clothing, preferring warm areas close to the human body where it can feed on blood.']",3
Korean_War,What two areas was Korea divided into?,Soviet and U.S. occupation zones,['Korea was divided into two areas: North Korea and South Korea.'],3
Queen_Victoria,"In 1889, what was Victoria the first reining monarch from Britian to do?",set foot in Spain,"['In 1889, Victoria became the first reigning monarch from Britain to set foot in Spain when she crossed the border for a brief visit during her stay in Biarritz.']",8
Boston,Most of the city lies in which USDA plant hardiness zone?,6b,['Most of the city lies in USDA plant hardiness zone 6b.'],8
Karl_Popper,How did Popper feel about Marxism after only a short time associating with other Marxists?,disillusioned,"['After a short time associating with other Marxists, Karl Popper became disillusioned with Marxism. This change in sentiment was largely a result of witnessing violent events, such as the 1919 riot in which police shot unarmed individuals, including some of his friends. He began to see Marxist historicism as ""pseudo-scientific"" and abandoned the ideology, adopting a stance of social liberalism instead. His experience led him to critically evaluate and ultimately reject the means associated with Marxism and historicism.']",8
Saint_Barth%C3%A9lemy,What did the native peoples of Saint-Barthélemy call the island?,Ouanalao,['The native peoples of Saint-Barthélemy called the island Ouanalao.'],7
Strasbourg,The traffic coming west of the city is from where?,unité urbaine,"['The traffic coming west of the city is from the Santa Monica area, specifically from routes like the Santa Monica Freeway (I-10) and State Route 2 (Santa Monica Boulevard). These routes connect to other major thoroughfares and are part of the transportation network in Los Angeles County, facilitating traffic flow towards the city.']",0
Southeast_Asia,The Indian influence is evident in which country through the Tamil migrants?,Singapore,['The Indian influence is evident in Malaysia through the Tamil migrants.'],0
House_music,what record labels helped popularize house music?,Trax Records and DJ International Records,"['Trax Records and DJ International Records were two key labels that helped popularize house music, both within Chicago and beyond. Other influential labels mentioned include Cajual Records, Relief Records, Warp Records, and Network Records.']",7
Premier_League,How many games did BT show in 2013-16?,BT had been awarded 38 games a season for the 2013–14 through 2015–16 seasons at £246 million-a-year.,['BT showed 38 games per season in the 2013-14 through 2015-16 seasons.'],6
FC_Barcelona,When did Barcelona win the Spanish League?,23 June 1929,"['Barcelona won the Spanish League (La Liga) multiple times, with notable victories in the following seasons:\n\n1. In the **2008-09 season**, they finished as champions, achieving a treble that year.\n2. They retained the La Liga title in the **2010-11 season**, marking their third consecutive title.\n3. They won again in the **2013-14 season**.\n4. They claimed the title in the **2015-16 season**.\n\nAdditionally, they have a long history of success in the league, having won a total of 26 La Liga titles as of December 2015.']",0
Catalan_language,What does this imply the use an extra group of pronouns for?,formality,"[""The use of an extra group of pronouns implies a complexity in the morphology of the language, allowing for greater flexibility in sentence structure. This can facilitate the combination of different unstressed pronouns and enable nuanced expressions of meaning, such as expressing relationships between subjects, actions, and objects without relying solely on more rigid sentence constructions. It reflects the language's capacity for diverse expression and the ability to convey information effectively using various combinations of pronouns.""]",0
Greece,What three countries sent their Navy to Greece?,"Russia, the United Kingdom and France","['The three countries that sent their navy to Greece were Russia, the United Kingdom, and France.']",10
Roman_Republic,After what war did the alliances start to solidify?,Second Punic War,['The alliances started to solidify after the Second Punic War.'],7
Molotov%E2%80%93Ribbentrop_Pact,How long after the annexation of Kresy was the amendment made?,Eleven days,"['The contexts provided do not contain specific information regarding the annexation of Kresy or an amendment related to it. Therefore, I am unable to answer the question regarding the timeframe between the two events. If you can provide more specific details or context about the annexation of Kresy and the associated amendment, I would be happy to help further.']",0
Labour_Party_(UK),When did Labour publish a new draft manifesto?,1996,"['Labour published a new draft manifesto in 1996, called ""New Labour, New Life For Britain.""']",3
General_Electric,Which city was the home of GE's first headquarters?,Schenectady,"[""New York City was the home of GE's first headquarters.""]",0
Lighting,What kind of tube are the movie theaters lights enclosed in?,translucent tube,"['The movie theater lights are traditionally enclosed in small low wattage, low voltage lamps in a track or translucent tube.']",3
Frédéric_Chopin,What year was Chopin born?,1810,['Chopin was born in the year 1810.'],7
Hunting,Approximately how many sport hunters applied for hunting licences in recent years?,"12,000","['Approximately 12,000 sport hunters applied for hunting licences in recent years in Trinidad and Tobago.']",7
"Tucson,_Arizona",When does El Tour de Tucson happen?,in November on the Saturday before Thanksgiving,['El Tour de Tucson happens in November on the Saturday before Thanksgiving.'],10
List_of_numbered_streets_in_Manhattan,What name did 3rd Street previously hold?,Amity Place,['3rd Street was previously known as Amity Place.'],7
Houston,What city is the most diverse in Texas?,Houston,['Houston is the most diverse city in Texas.'],3
God,How does Alvin Plantinga describe faith?,"""properly basic""","['Alvin Plantinga describes faith as ""properly basic,"" suggesting that it is not necessarily derived from or reliant on rational arguments or evidence. Instead, faith is viewed as a foundational belief that is justified without the need for evidence, much like certain other basic beliefs we hold about the world.']",8
Prime_number,What is the name of one algebraic generalization prime numbers have inspired?,"['prime elements', 'prime ideals']","['One algebraic generalization inspired by prime numbers is ""prime ideals.""']",5
Super_Nintendo_Entertainment_System,Where was the Super Game Boy 2 released?,Japan,['The Super Game Boy 2 was released in Japan.'],3
Capacitor,What device can be used to discharge large voltage capacitors?,a Brinkley stick,['A Brinkley stick can be used to discharge large voltage capacitors.'],3
Mexico_City,Where is the house that Leon Trotsky was murdered?,Coyoacán,"['Leon Trotsky was murdered in Mexico City, Mexico.']",2
University_of_Kansas,What is the name of an online resource that was created into provide a resource about KU?,KUpedia,"['The online resource created to provide information about the University of Kansas (KU) is the ""Lynx"" text-based web browser.']",0
Nintendo_Entertainment_System,What was installed on the front of the console so the joystick could be used?,15-pin expansion port,"['An arcade-style joystick could be used optionally, and it was installed on the front of the console.']",0
Saint_Helena,Who gave up calling at the island due to attacks on their shipping?,The Portuguese and Spanish,"['The shipping that gave up calling at the island was from Spain and Portugal, as mentioned in the context regarding attacks on vessels visiting the islands.']",7
Dog,How many people in the United States are said to own dog?,77.5 million,['It is estimated that there are 77.5 million people with pet dogs in the United States.'],8
Bermuda,Why is there a debate as to dubbing the diamondback terrapin the oldest indigenous land vertebrate?,this species spends most of its time in brackish ponds,"[""The debate surrounding the classification of the diamondback terrapin as the oldest indigenous land vertebrate arises from the species' habitat and lifestyle. While the diamondback terrapin was discovered to have pre-dated human arrival in the archipelago, it primarily resides in brackish ponds, leading some to question whether it fits the criteria to be classified as a land vertebrate. This classification is important because it impacts how the species is viewed in relation to others, such as the broad-headed skink, which has a clearly defined status as a land vertebrate. Thus, the discussion reflects broader considerations of ecological classification and the criteria used to differentiate between land and aquatic vertebrates.""]",3
Hunter-gatherer,What has been humans' best adaptation in food production?,Hunting and gathering,"[""Humans' best adaptation in food production has been the transition from hunting and gathering to agriculture. This shift allowed for the domestication of plants and animals, leading to more stable and reliable food sources. The development of agricultural practices enabled communities to cultivate crops and raise livestock systematically, thereby optimizing food production and supporting larger, sedentary populations. Additionally, innovations such as the use of tools for forest clearance, the cultivation of specific cereal grains, and the refinement of farming techniques have further enhanced agricultural productivity, establishing agriculture as a foundational aspect of human civilization and societal development.""]",3
Arsenal_F.C.,What has the color of the Arsenal  home shirts been?,bright red,"[""The color of Arsenal's home shirts has predominantly been bright red with white sleeves.""]",3
Bermuda,"What is the Olympic tradition for Bermuda, regardless of season?",march in the Opening Ceremony in Bermuda shorts,"['The Olympic tradition for Bermuda is to march in the Opening Ceremony wearing Bermuda shorts, regardless of whether it is a summer or winter Olympic celebration.']",8
San_Diego,Who did Inzunza and Zucche accept money from?,a strip club owner and his associates,"['The contexts provided do not contain any information about individuals named Inzunza and Zucche, nor do they mention any money accepted by them. Therefore, it is not possible to answer the question based on the given information.']",0
Film_speed,What is denoted when the specified contrast condition is met?,"The exposure Hm, in lux-s","['When the specified contrast condition is met, the exposure Hm, in lux-s, is denoted for the speed point m on the curve where density exceeds the base + fog density by 0.1.']",3
Supreme_court,What document grants the Philippines Supreme Court the right of judicial review?,1987 Philippine Constitution,['The 1987 Philippine Constitution explicitly grants the Supreme Court the power of judicial review over laws and executive actions.'],5
Westminster_Abbey,What did changing the status of the abbey create?,the Diocese of Westminster,"['Changing the status of the abbey created a ""Royal Peculiar,"" meaning it became a church responsible directly to the sovereign rather than to a diocesan bishop. This alteration in status reflected a shift in its governance and relationship with the Church of England, allowing it to operate independently from local church authorities.']",2
Beer,In which century were hops first widely cultivated for making beer?,the thirteenth century,['Hops were first widely cultivated for use in beer in the thirteenth century.'],5
United_States_dollar,"How did the word ""taler"" translate into Italian?",tallero,"['The word ""taler"" translated into Italian as ""tallero."" The term ""taler"" originally referred to Joachimstalers, coins minted in Bohemia. Over time, ""Joachimstaler"" was shortened to ""taler,"" which eventually made its way into various languages, including Italian, as ""tallero.""']",8
"Ann_Arbor,_Michigan",Which districts compose mostly of 2-4 story structures?,commercial districts,"['The neighborhoods consisting mostly of 2-4 story structures include areas mentioned in the contexts where terraced houses and multi-family row houses are described. Specifically, the context mentioning ""Downtown and its immediate surroundings,"" which consists largely of low-rise masonry buildings, and the ""South End Historic District,"" noted for being a contiguous Victorian-era neighborhood, likely features many structures in the 2-4 story range. Additionally, the ""Old West Side neighborhood"" of Ann Arbor and the residential architecture in the Tower District of Fresno may also include such building types.']",2
Slavs,Who uses the Cyrillic alphabet?,The Orthodox,"['The Cyrillic alphabet is used primarily by Orthodox Slavic ethnic groups, including the East Slavs (such as Russians, Ukrainians, and Belarusians), the South Slavs (such as Serbs and Montenegrins), and certain groups in Central Asia. It is also utilized in official capacities by languages such as Russian, Bulgarian, Serbian, and others. In addition, Serbian language and Montenegrin language use both Cyrillic and Latin alphabets, but Cyrillic is more commonly used in Serbia.']",3
Boston,Lots of older buildings are supported by what?,wooden piles,"['Many older buildings are supported by steel framing or other structural materials that were commonly used in the architectural practices of their time. In the context provided, some Gothic buildings particularly relied on technologies such as ribbed vaults and buttresses for their support.']",0
Gamal_Abdel_Nasser,"What did the UK, France and Israel intend to do to Nasser?",topple,"[""The UK, France, and Israel intended to invade Egypt and take military action against Nasser. This plan culminated in the Suez Crisis, where on 29 October 1956, Israeli forces crossed the Sinai Peninsula to engage Egyptian army posts, followed by a British and French bombing of Egyptian airfields. Their aim was to retake control of the Suez Canal and undermine Nasser's authority, particularly due to his nationalism and opposition to their regional interests.""]",3
Palermo,What types of churches attract tourists to Palermo?,"Romanesque, Gothic and Baroque","['Tourists are attracted to Palermo for its Romanesque, Gothic, and Baroque churches. Notable examples include the Cappella Palatina of Roger II and the Martorana church in Palermo, as well as the cathedrals of Cefalù and Monreale.']",7
Financial_crisis_of_2007%E2%80%9308,What is an example of a product Wall Street invented to answer the demand for income generating investments?,mortgage-backed security,['An example of a product that Wall Street invented to answer the demand for income generating investments is the mortgage-backed security (MBS).'],8
Translation,What title did Georgius Gemistus Pletho carry?,Byzantine scholar,['Georgius Gemistus Pletho was a Byzantine scholar.'],8
"Fresno,_California",How many total acres is Woodward Park?,"['300 acres', '300']",['Woodward Park covers a total of 300 acres (1.2 km²).'],8
Slavs,When were Slavic languages recognized as Indo-European?,As early as 1833,['Slavic languages were recognized as Indo-European as early as 1833.'],8
BBC_Television,What character was featured in the cartoon aired the day BBC broadcasting was restored?,Mickey Mouse,"['The character featured in the cartoon aired the day BBC broadcasting was restored was Mickey Mouse. The last program transmitted before the suspension of broadcasts during World War II was a Mickey Mouse cartoon, specifically ""Mickey\'s Gala Premier"" (1933).']",7
Flowering_plant,What is it the function of the flower to ensure fertilization of?,the ovule,['The function of the flower is to ensure fertilization of the ovule.'],3
Seattle,How often is the Seattle Poetry festival held?,biennial,['The Seattle Poetry Festival is held biennially.'],7
USB,"In all cases, both host-to-device and device-to-host configurations are what?",supported,"['In all cases, both host-to-device and device-to-host configurations are supported.']",7
Steven_Spielberg,When was Jaws released?,1975,['Jaws was released in 1975.'],8
Yuan_dynasty,Who would have been the lowest-ranked class?,"['Han Chinese', 'the Han Chinese']","['The lowest-ranked class would have been the merchants, specifically the state-registered merchants who were viewed by the gentry as social parasites and had a contemptible status. They were considered to have a lower legal and socioeconomic status compared to farmers, artisans, and craftsmen.']",0
Queen_Victoria,What was the name of Victoria's King Charles Spaniel?,Dash,"[""Victoria's King Charles Spaniel was named Dash.""]",7
Canadian_Armed_Forces,What do the Canadian Rangers safekeep?,Canada's exercise of sovereignty over its northern territory,"[""The Canadian Rangers provide surveillance and patrol services in Canada's Arctic and other remote areas, playing an essential role in Canada's exercise of sovereignty over its northern territory.""]",8
Pitch_(music),Octaves in linear pitch are what size?,12,"['In linear pitch space, octaves have a size of 12.']",7
Wood,"Along with fatty acids, what kind of acids are in the extractives in wood?",resin,"['The extractives in wood include resin acids, along with fatty acids.']",3
Dissolution_of_the_Soviet_Union,What position did Konayev hold in Kazakhstan prior to his removal?,First Secretary of the Communist Party,['Konayev was the First Secretary of the Communist Party of Kazakhstan prior to his removal.'],7
Chinese_characters,What has standardized character forms?,Chinese characters,"['Standardized character forms have been established for various scripts and languages. Specifically, in the context provided, the Ministry of Education in the Republic of China (Taiwan) has standardized character forms through the Chángyòng Guózì Biāozhǔn Zìtǐ Biǎo (Chart of Standard Forms of Common National Characters) which lists 4,808 characters, while another chart lists an additional 6,341 characters. Additionally, Chinese characters have standardized forms as maintained by different regions, such as the Table of General Standard Chinese Characters for Mainland China. Each region that uses Chinese characters also has standardized stroke orders, contributing to the overall standardization of character forms.']",3
Northwestern_University,Where did actor Warren Beatty attend school?,Northwestern's School of Communication,['Warren Beatty attended Northwestern University.'],2
Antenna_(radio),What is also increased along with the antenna's height?,lobes,"[""As the antenna's height is increased, the number of lobes in the radiation pattern also increases.""]",3
Chicago_Cubs,How long were the Cubs ran under the Wrigley family?,6 decades,"['The Cubs were run under the Wrigley family for 60 years, from their ownership starting in 1921 until the sale in 1981.']",8
Central_African_Republic,What agreement gave the authority for deployment of military intervention?,The Bangui Agreements,"[""The authority for deployment of military intervention is typically provided by various international agreements and resolutions, but in the context of the Korean War mentioned in the provided text, it was the United Nations Security Council resolutions, particularly Resolution 83, that recommended member states provide military assistance to the Republic of Korea. Additionally, the authorization for the United States to intervene militarily was encompassed within the broader framework of the UN's collective defense efforts in response to the North Korean invasion.""]",0
Ctenophora,How does cooling of the local environment affect the mnemiopsis?,"[""significantly slowed the animal's metabolism"", ""slowed the animal's metabolism""]","[""The cooling of the local environment, which occurred from 1991 to 1993, significantly slowed the metabolism of Mnemiopsis, helping to bring its population under control. This reduction in metabolic rate likely affected the ctenophore's reproductive and feeding processes, ultimately contributing to the decline in its population density in the region.""]",7
1973_oil_crisis,Which country is a traditional ally of Israel?,"['The UK', 'UK']",['The United States is a traditional ally of Israel.'],0
American_Idol,Which contestant had a fiancé that had suffered brain damage?,Chris Medina,"['The contestant with a fiancé who had suffered brain damage is not explicitly stated in the provided contexts. Therefore, based on the information available, I cannot identify a specific contestant with that situation. If you are referring to a particular contestant or incident not covered in the contexts, please provide additional details.']",0
2008_Sichuan_earthquake,How did the USGS rate the earthquake?,very disastrous,"['The United States Geological Survey (USGS) rated the earthquake as having a magnitude of 8.0 Ms and 7.9 Mw. Additionally, it reported preliminary rupture models indicating significant displacements and noted that the earthquake generated surface deformations greater than 3 meters.']",3
Super_Nintendo_Entertainment_System,How much data do the smallest SNES games use?,2 Mbit,['The smallest SNES games contain only 2 Mbit of ROM data.'],7
Cyprus,Which Turkish Cypriot writer has been nominated for the Nobel Prize in literature twice?,Osman Türkay,['Osman Türkay is the Turkish Cypriot writer who has been nominated for the Nobel Prize in Literature twice.'],5
Professional_wrestling,What move did Tazz make popular?,Tazzmission,"['Tazz popularized the kata ha jime judo choke in professional wrestling, branding it as the ""Tazzmission.""']",8
Beer,Who was believed to have added hops to beer in 1067?,Abbess Hildegard,['Abbess Hildegard of Bingen was believed to have added hops to beer in 1067.'],5
Lighting,What is used to light walkways at night?,Street Lights,['Street lights are used to light walkways at night.'],3
Thuringia,"Why did the iron, copper and silver mines fail?",because the competition from imported metal was too strong,"['The iron, copper, and silver mines declined due to strong competition from imported metal, which made it difficult for these local mines to sustain their operations.']",9
Rhine,How many bodies of water makes up Lake Constance?,"['three', 'three bodies of water']","['Lake Constance consists of three bodies of water: the Obersee (upper lake), the Untersee (lower lake), and the Seerhein.']",7
2008_Sichuan_earthquake,What were all these tents and quilts for?,those left homeless,"['The tents mentioned were primarily used by the military for various operational and logistical purposes. They served as temporary barracks (sleeping quarters), dining facilities (DFAC buildings), forward operating bases (FOBs), tactical operations centers (TOCs), and morale, welfare, and recreation (MWR) facilities, as well as for after action reviews (AAR) and security checkpoints. \n\nWhile the context provides detailed information about military tents specifically, it does not mention quilts. Therefore, the answer focuses on the military tents.']",0
Rhine,When was the Rhine crisis?,1840,['The Rhine crisis occurred in 1840.'],8
Dutch_Republic,What was the main subject of controversy that arose within the Reformed Church during the beginning of the Republic?,predestination,"['The main subject of controversy that arose within the Reformed Church during the beginning of the Republic was the issue of religious freedom and the acceptance of various religious practices. Specifically, the Union of Utrecht in 1579 granted Holland and Zeeland the right to accept only one religion (Calvinism), while allowing other provinces to regulate religious matters as they wished. This led to tensions between different provinces and within the church regarding the imposition of Calvinism as the privileged religion, as well as the exclusion of Catholic services and practices, which was contrary to the desire for broader religious freedom championed by figures like William of Orange. Additionally, there were ongoing debates about the authority and governance within the Reformed Church, particularly in relation to individual congregations and their autonomy against established norms.']",0
Transistor,What is a ball grid array composed of?,"solder ""balls"" on the underside in place of leads","['A ball grid array (BGA) is composed of a surface-mount package that features solder ""balls"" on the underside instead of traditional leads. These solder balls serve as interconnections for the integrated circuits within the BGA package. The design allows for smaller, more compact connections, which improves high-frequency performance and reduces the size and weight of the package.']",9
Queen_Victoria,"During her free time, what did she play with?",dolls,"['During her free time, Victoria played with her dolls and her King Charles spaniel, Dash.']",3
Yuan_dynasty,Who was the Karluk Kara-Khanid ruler ranked above?,"['Korean King', 'the Korean King']",['The Karluk Kara-Khanid ruler was ranked above the Korean King.'],2
Plymouth,Who set fire to Plymouth in 1403?,Breton raiders,"['The context provided does not mention anyone setting fire to Plymouth in 1403. Therefore, based on the information available, it is unclear who, if anyone, set fire to the city at that time.']",0
Police,What problems did Sheptycki say 'organizational pathologies' have caused for police?,make the functioning of security-intelligence processes in transnational policing deeply problematic,"[""Sheptycki analyzed that 'organizational pathologies' within transnational policing have led to deeply problematic functioning of security-intelligence processes. Specifically, these pathologies contribute to a paradox where, despite intensified efforts by policing agencies to produce security, there is an increasing sense of insecurity among the population. This indicates inefficiencies and systemic issues within the organization of policing that hinder effective crime prevention and contribute to a climate of fear and distrust rather than safety and security.""]",8
2008_Sichuan_earthquake,What famous basketball player made two large donations to the crisis?,Yao Ming,['The famous basketball player who made two large donations to the crisis is Yao Ming.'],7
John_Kerry,Who was Kerry's paternal grandmother?,Ida Lowe,"[""Kerry's paternal grandmother was Ida Lowe.""]",8
Georgian_architecture,What year did Georgian architecture begin to be abandoned?,1840,['Georgian conventions began to be slowly abandoned after about 1840.'],7
Buckingham_Palace,Which rooms are used for less formal entertaining such as luncheons or private audiences?,the semi-state apartments,"['The rooms used for less formal entertaining, such as luncheons or private audiences, are known as the semi-state apartments, which open from the Marble Hall.']",8
Saint_Helena,What was there a long pattern of from the island starting during the post Napoleonic period?,emigration,['There was a long pattern of environmental intervention and attempts at conservation and reforestation from the island starting during the post Napoleonic period. This included efforts to boost rainfall artificially and addressed ecological problems such as deforestation and soil erosion.'],0
Cyprus,"What is the rating for Cyprus in the ""Freedom in the World 2011"" report?",free,"['Cyprus was rated as ""free"" in the ""Freedom in the World 2011"" report by Freedom House.']",3
Digestion,What is one molecule of fat?,a triglyceride,"['One molecule of fat is typically a triglyceride, which consists of three fatty acids bonded to a glycerol backbone.']",7
Switzerland,What sources of energy does Switzerland heavily rely on?,renewable,"['Switzerland heavily relies on renewable sources of energy, particularly hydropower and geothermal energy.']",5
"St._John%27s,_Newfoundland_and_Labrador",What is the foggiest Canadian city?,St. John's,"[""The foggiest Canadian city is St. John's.""]",8
Arsenal_F.C.,What early team copied the Arsenal's red current color in 1909?,Sparta Prague,['Sparta Prague adopted a dark red kit like the one Arsenal wore at the time in 1909.'],3
Affirmative_action_in_the_United_States,What was the purpose of Title VII of the Civil Rights Act?,to end discrimination in all firms with 25 or more employees,"['The purpose of Title VII of the Civil Rights Act was to end discrimination in all firms with 25 or more employees. It aimed to prohibit discrimination in employment based on race, color, religion, sex, or national origin. Title VII established the Equal Employment Opportunity Commission (EEOC) to oversee and enforce these regulations, ensuring that individuals were treated fairly in the workplace without regard to these characteristics. This legislation was a significant step toward promoting equal opportunities in employment.']",8
Han_dynasty,How many dragons were represented in Zhang Heng's invention of the seismometer?,eight,"[""Zhang Heng's invention of the seismometer represented eight dragons.""]",3
