title,question,answers
Queen_Victoria,Where was osborne House that Victoria spent christmas at located?,on the Isle of Wight
Presbyterianism,"The church of Scotland was organized by this person, whats his name?",Andrew Melville
IPod,What company manufactures the iPod?,Apple
Middle_Ages,In what centuries did fiefs become hereditary?,11th and 12th
"Atlantic_City,_New_Jersey","Prior to and during the advent of legalized gaming, what happened to many of the hotels in Atlantic City?",demolished
Strasbourg,How many Jews were burned to death in 1349?,over a thousand
Modern_history,Who initially rejected the Japanese laws mandating military service?,peasant and warrior alike.
Ottoman_Empire,In 1914 what portion of the Empire weren't Muslims?,19.1%
Philadelphia,What percent are vacant as of 2013?,13 percent
Northwestern_University,What does the Evanston Campus Framework Plan outline?,future development of the Evanston Campus
Dissolution_of_the_Soviet_Union,Who was General Secretary prior to Mikhail Gorbachev?,Konstantin Chernenko
Separation_of_church_and_state_in_the_United_States,What did Stewart object to?,"the court's embrace of the ""wall of separation"" metaphor"
Cork_(city),What is main street Cork?,St. Patrick's Street
United_States_Air_Force,What score must an airman get on the US Air Force Fitness test to be able to opt out of one of the mandatory twice a year retests? ,90%
A_cappella,What do some a capella groups do other than sing words?,emulate instrumentation
Melbourne,How many of the Australian Football League's teams are based in the Melbourne metropolitan area?,Nine
Antarctica,To what mountainous area is Antarctica geologically similar?,Andes
Alexander_Graham_Bell,In what year did Bell open his own school?,1872
Muammar_Gaddafi,In what year did Gaddafi found the Jamahiriya?,1977
Light-emitting_diode,What type of pixels does a dot matrix display use?,5x7
Canadian_Armed_Forces,What are the four divisions?,"the 2nd Canadian Division, the 3rd Canadian Division, the 4th Canadian Division and the 5th Canadian Division"
Franco-Prussian_War,"At the start of the Franco-Prussian War, what was the age of the Dreyse gun's design?",25-year-old design
Biodiversity,What types of new species can be introduced?,"The exotic organisms may be predators, parasites"
Marshall_Islands,In what year did Father Linckens first travel to the Marshalls?,1904
Pacific_War,How many US citizens were killed in the attack on Pearl Harbor by Japan?,"2,403"
Melbourne,"What do the novels The Mystery of a Hansom Cab, Monkey Grip, and The Slap have in common?",set in Melbourne
Internet_service_provider,What do internet hosting services provide? ,"email, web-hosting, or online storage services"
"New_Haven,_Connecticut",Who was the influential New Haven general that hoped to avoid conflict with the British Parliament as the American Revolution loomed closer?,General David Wooster
Seven_Years%27_War,Identify the French colonies lost  to the British in 1759 and 1762.,The British Royal Navy took the French sugar colonies of Guadeloupe in 1759 and Martinique in 1762
Kievan_Rus%27,Who first translated the term Kievan Rus into english from russian?,Vasily Klyuchevsky
John_Kerry,When did Kerry say he intended to support the Iraq War?,"October 9, 2002"
Economic_inequality,Which set of countries have higher economic mobility than the United States?,"['continental European countries', 'continental European']"
Washington_University_in_St._Louis,What is the gender make-up of the residence halls at Washington University?,co-ed
New_Delhi,What was the 2011-12 GSDP estimate for Delhi?,Rs 3.11 trillion
IBM,What computer did Arthur L. Samuel program to play checkers in 1957?,an IBM 704
Chihuahua_(state),Where did the Paquime seek refuge?,Sierra Madre Occidental
Huguenot,What war in Ireland featured Huguenot regiments?,"['Williamite war', 'Williamite', 'the Williamite war']"
MP3,What does VBR stand for?,Variable Bit Rate
Zinc,What oxidation state dominates the chemistry of zinc?,+2
"Raleigh,_North_Carolina","How much snow did Raleigh get on January 24, 2000?",20.3 inches
Southampton,What was the name of the 10th-century fortified settlement that took Hamwic's place?,Southampton
Serbo-Croatian,How many extra letters does the Croatian Latin alphabet have?,five
Dog,What is it called when an animal is altered to prevent procreation?,Neutering
Computational_complexity_theory,"What individuals were responsible for authoring ""On the Computational Complexity of Algorithms""?",Juris Hartmanis and Richard Stearns
Korean_War,What United Nation's committee considered the invasion of Korea to be an act of aggression?,United Nations Security Council
Red,When was the first ruby laser invented?,1960
Supreme_court,What is the Constitutional Court's power over the executive branch of Austrian government?,the review of administrative acts on whether they violate constitutionally guaranteed rights
Asphalt,At what temperatures is heated asphalt seen to be a greater health risk?,greater than 199 °C
Economic_inequality,What helps to unleash the productivity ability of the poor?,education
Heresy,What number of Christians did Selim the Grim equate to the killing of one Shiite?,70
Comics,When did comic books make an appearance?,1930s
Printed_circuit_board,What event prompted the United States to adopt the printed circuit to make proximity fuses?,World War II
Middle_Ages,In what decade were siege cannon known to have been used?,1320s
Construction,Who presents different ideas about how to accomplish goals?,"['Several D&B contractors', 'D&B contractors']"
Pacific_War,What was the first Japanese warship to be sunk by submarine?,Sagiri
Hindu_philosophy,Into what parts did the Pasupatas divide the world?,insentient and the sentient
2008_Summer_Olympics_torch_relay,How many police officers were part of the security operative?,1200
Emotion,What is Laird's job title?,psychologist
Education,What would Special Education usually only apply to in the early years of schooling in the U.S?,people with severe disabilities
Josip_Broz_Tito,With whom did Tito sign an agreement on September 28 1944?,Soviet Union
Carnival,What do the Germans feel it inconsistent to confine gods within?,walls
Daylight_saving_time,What does Microsoft Windows use internally for its real-time clock?,local time
Literature,"What author espoused the theory of the ""pristine unconscious?""",D.H Lawrence
2008_Summer_Olympics_torch_relay,Who was said to have given money to the Dalai Lama?,the LVMH Group
Queen_Victoria,Who was opposed to Victoria writing a biography of Brown?,Sir Henry Ponsonby
Alexander_Graham_Bell,"In the photophone, light carried sound and what?",normal human conversations
Railway_electrification_system,Why some lines of Paris Metro have to operate on a four-rail system?,rubber tyres
Child_labour,What did it help do to?,helped to reduce the exploitation of children
Arsenal_F.C.,What Arsenal manager replaced Mee?,Terry Neill
Civil_disobedience,Who wrote that it is difficult to produce an all inclusive definition of civil disobedience?,LeGrande
Alfred_North_Whitehead,Who was the most important early supporter of Whitehead's work in the context of theology?,Charles Hartshorne
Madonna_(entertainer),Which disease did her mother passed away from?,breast cancer
Insect,Insects growth is constrained by what?,the inelastic exoskeleton
Steven_Spielberg,Who thought 'Empire of the Sun' was the best film of the year?,Andrew Sarris
Ctenophora,What do ctenophore use to capture their prey?,colloblasts
Mary_(mother_of_Jesus),What happened to Mary's body at death?,assumed directly into Heaven
Glacier,Which mountain ranges contain glaciers?,"Andes, the Himalayas, the Rocky Mountains, the Caucasus, and the Alps"
Printed_circuit_board,What action is made much more difficult for boards that have a conformal coating?,servicing
Separation_of_church_and_state_in_the_United_States,What was the Supreme Court's final vote in Town of Greece v. Galloway?,5-4
Civil_disobedience,What type of treatment do civil disobedients usually receive?,"['mistreatment', 'mistreatment from government officials', 'sentence']"
American_Idol,What year did season 12 of American Idol first air?,2013
Modern_history,What were the Allied powers referred to before 1917?,Triple Entente
Royal_Institute_of_British_Architects,When was the mention of London removed from the Royal Institute's name?,1892
Sumer,What type of instrument are the Sumerians thought to have invented to use at royal funerals?,oboe-like
Construction,What three things are needed for construction to take place?,"['planning,[citation needed] design, and financing and continues until the project is built', 'planning,[citation needed] design, and financing']"
Premier_League,How many games were secured to broadcast by BT Group?,38
Buddhism,The term dukkha corresponds to what English terms?,"suffering, pain, unsatisfactoriness, sorrow, affliction, anxiety, dissatisfaction, discomfort, anguish, stress, misery, and frustration"
"Fresno,_California",What route connects Fresno with the California Central Valley?,State Route 99
Gene,What is the estimate for the total number of protein coding genes on Earth?,5 million
Kanye_West,How is Kazakhstan's human rights record compared to the rest of the world?,one of the poorest
Kathmandu,"Before the modern era, who mostly celebrated Kathmandu festivals?",Newars
Mesozoic,What event of the Early Cretaceous caused the extinction of several species?,expansion of seaways
Federal_Aviation_Administration,Who assumed primary responsibility for aviation oversight?,Aeronautics Branch
Paris,In what year was the Musee de quai Branly built?,2006
New_Delhi,The Spring Festival which is held each year in Delhi is also known by what name?,Vasant Panchami
Arena_Football_League,What was the average per-game attendance in 2007?,"12,392"
Mandolin,What keys was Monroe popular for? ,B and E
FC_Barcelona,Which team did Barcelona beat to win the UEFA Super Cup?,Porto
Gothic_architecture,What other type of architecture also made use of the pointed arch?,Sassanian architecture
United_States_Army,What month and year was the black beret replaced?,June 2011
Avicenna,Avicenna became a qualified physician at what age?,18
Elevator,What is an orchestra lift used for?,"to raise an entire orchestra, or an entire cast of performers (including live elephants) up to stage level from below"
Madrasa,What problems are arising due to the political conflicts over schools?,Hindu-Muslim friction
Web_browser,Who released the Internet Explorer browser?,Microsoft
Ottoman_Empire,When was the Ottoman empire founded?,1299
Seven_Years%27_War,What was the result for Admiral Byng?,Admiral Byng was court-martialed and executed
The_Sun_(United_Kingdom),What was the advertising budget of the new paper?,"£400,000"
Pub,"Along with karaoke, what type of prerecorded music is often found in pubs?",juke boxes
Nigeria,How many months did the Nigerian Civil War last?,30
FA_Cup,When did people start presenting the trophy after the game? ,The tradition of presenting the trophy immediately after the game did not start until the 1882 final
Hunting,Hunted species are usually referred to as what?,game or prey
Richard_Feynman,In what year did Feynman win his Nobel Prize?,1965
Rajasthan,What is is Kota known as within India?,coaching capital of India
Pub,"What is the main service of an inn, now also attainable in motels, hotels and lodges?",lodging
"Jacksonville,_Florida",What are those from Jacksonville sometimes called?,"['""Jacksonvillians"" or ""Jaxsons""', '""Jacksonvillians""']"
"Charleston,_South_Carolina",Counties replaced what system in South Carolina?,traditional parish system
Packet_switching,What did NSFNET eventually provide,"['a major part of the Internet backbone', 'it developed into a major part of the Internet backbone', 'major part of the Internet backbone']"
Private_school,What types of schools are most ergänzungsschulen?,"['vocational', 'vocational schools', 'secondary or post-secondary']"
Nigeria,How many languages are spoken by Nigerians?,over 500
Grape,What are grapes that are used to make wine classified as?,wine grapes
Germans,Who won the battle of Koniggratz?,Prussia
Islamism,What Egyptian president jailed thousands of members of the Brotherhood?,Gamal Abdul Nasser
Athanasius_of_Alexandria,How old was he when he was consecrated?,thirty years of age.
Greece,How many national teams have won the UEFA European Championship?,nine
Web_browser,What other browser has Google as the default search engine?,Chrome
East_India_Company,What type of Captain was Henry Every?,English pirate
Liberia,When did the united states recognize the republic of Liberia's independence?,"February 5, 1862. Between January 7, 182"
Annelid,What subtype of clitellates contains leeches?,hirudinomorphs
MP3,What are most decoders?,bitstream compliant
Middle_Ages,In what century was Romanesque architecture first used?,10th
Saint_Helena,Which company took over the channels vacated by Saint FM?,Saint FM Community Radio
North_Carolina,How many full time jobs are held by those in the non profit arts and culture industry?,"43,600"
Adolescence,Which term is defined as one's thoughts and feelings about one's self-concept and identity?,Self-esteem
Madonna_(entertainer),Who included Madonna as the most powerful woman of the century?,Time magazine
Montevideo,What neighborhood is the General Artigas Central Station located?,Aguada
Immaculate_Conception,What else can be found in the symbol with Mary that may vary in different versions ?,"clouds, a golden light, and cherubs. In some paintings the cherubim are holding lilies and roses, flowers often associated with Mary."
Apollo,What was the name of the chthonic dragon?,Python
Translation,Who provided a humorous example of the unreliability of back-translation? ,Mark Twain
Friedrich_Hayek,"In 1984, what was Margaret Thatcher's position within the British government?",Prime Minister
Szlachta,What did they use to refer to the origin of szlactha?,odwieczna
Dutch_Republic,The main executive official of the Provincial States was called what?,raadspensionaris
The_Times,Who was appointed general editor for The Times in 1817?,Thomas Barnes
"Ann_Arbor,_Michigan",When was the city listed on the National Register of historic Places?,1972
Nigeria,Where was Nigeria's second satellite manufactured?,United Kingdom
Classical_music,The euphonium usually played parts marked as what?,"""tenor tuba"""
Infection,When may immunity be acquired?,following a disease
Federalism,What does federalism allow?,it allows certain groups to legislate at the subnational level
Computational_complexity_theory,What would create a conflict between a problem X and problem C within the context of reduction? ,"['problem in C is harder than X', 'if every problem in C can be reduced to X']"
Napoleon,"To speed his retreat to Egypt, Napoleon ordered the poisoning of sick men with what substance?",opium
Pope_John_XXIII,Who did Cardinal Giovanni Battista Montini later become?,Pope Paul VI
Orthodox_Judaism,What is the origin of Jewish Law?,Divine
Post-punk,"Who produced the compilation ""No New York""?",Eno
Police,Who compared transnational police information and intelligence sharing practices?,Alain
Digimon,When did Digimon Xros Wars begin airing?,2010
Indigenous_peoples_of_the_Americas,What were Spanish translations at the time made for?,legal cases
Hydrogen,Who recognized hydrogen gas as a discreet substance?,Henry Cavendish
Palermo,What percentage of Palermo residents were female in 2010?,52.6%
Dissolution_of_the_Soviet_Union,Members of what ideology were more heavily elected to the union Congress of People's Deputies?,conservatives
Printed_circuit_board,What percentage absorption do F-4 epoxies have?,0.15%
Washington_University_in_St._Louis,How many different countries comprise the makeup of faculty and students of Washington University?,120
Liberal_Party_of_Australia,Which two title holders fought for political power in the early 1990s?,former Treasurer John Howard competing with former Foreign Minister Andrew Peacock
Kanye_West,Which U.S. President criticized Kanye for his VMA outburst?,Obama
Franco-Prussian_War,What was the overarching Prussian motive in starting a war with France?,unification of a great German empire
Force,What is the seldom used force unit equal to one thousand newtons?,sthène
Post-punk,When did the indoe music scene begin to grow?,mid-1980s
Edmund_Burke,What did Burke think could arouse common people's dangerous passions?,demagogues
Geography_of_the_United_States,What are the two branches of the Cordilleran system?,Rocky Mountain System and the Pacific Mountain System
United_Nations_Population_Fund,Which U.S. department investigated the allegations?,the State Department
Napoleon,"During France's retreat, atrocities were committed against French soldiers by which Russian subjects?",serfs
Avicenna,The necessary exists due to what?,Its-Self
Chicago_Cubs,What did Bud Light dub the bleacher section?,the Bud Light Bleachers
Galicia_(Spain),How many of its numerous named locations are communities?,"40,000"
Chihuahua_(state),Who was the Durango governor?,Santiago Baca Ortiz
Chicago_Cubs,Where were the final four games of the 1945 World Series played?,Wrigley
Melbourne,How does Melbourne's skyline rank in terms of other skylines in Australia?,second largest
51st_state,"What had been Poland's stance towards the US, historically?",staunchly pro-American
Affirmative_action_in_the_United_States,Who is an example of someone that states that affirmative action is another form of discrimination?,Ward Connerly
Financial_crisis_of_2007%E2%80%9308,What investment bank stated on October 6 that 2008 would see a global recession lasting for at least two years?,UBS
Late_Middle_Ages,Which country was conquered by the Ottomans in 1479?,Albania
Brain,Norepinephrine comes from an area of the brain known as what?,locus coeruleus
Wayback_Machine,When did Suzanne Shell's suit against Internet Archive come to an end?,"April 25, 2007"
Canadian_Armed_Forces,Who can temporarily be assigned the Health Serviced Group?,Joint Task Force
Valencia,What archdiocese was Valencia under during the time of the Visigoths?,Toledo
Anti-aircraft_warfare,"Along with speed of the modern jet, what else limits target opportunities?",altitude
Orthodox_Judaism,What besides Modern Orthodox Judaism does Orthodox Judaism consist of?,Haredi Judaism
Insect,Insects become toxic by doing what with the chemicals from plants?,sequestering
Szlachta,Who created the crown tribunal?,king Stefan Batory
American_Idol,How many weeks did the finals of season thirteen last?,thirteen
Endangered_Species_Act,How is public notice given regarding a listing?,"through legal notices in newspapers, and communicated to state and county agencies within the species' area"
Modern_history,In what year did the fall of Constantinople happen? ,1453
Financial_crisis_of_2007%E2%80%9308,"In the 2000s, investors were seeking higher yields than those offered by this investment?",U.S. Treasury bonds
American_Idol,Sheryl Crow felt the show undermined art and promoted what?,commercialism
New_York_City,What is the second largest library in the US?,Queens Borough Public Library
Boston,What famous disaster happened in Boston in 1872?,The Great Boston Fire of 1872
Seattle,When was ship building the economic master in Seattle?,World War I
Green,Which color is considered sacred in Islam?,green
Slavs,Old 9th century documents describing Slavs were written in what language?,Old Church Slavonic
Kanye_West,What was the name of the bodyguard also accused of vandalism?,"Don ""Don C."" Crowley"
Unicode,What does UTF-16 expand? ,UCS-2
Swaziland,What is the minimum amount of nominees taken on the day of nomination in the Swazi Parliament?,four
Red,What type of scattering is responsible for the shift in the color of sunlight?,Rayleigh
Alloy,When did iron start to become melted by people?,Middle Ages
Macintosh,Which design feature did Smith eventually use to make production of a newly designed board more cost-efficient?,fewer RAM chips than the Lisa
Carnival,Who are magical creatures from another world?,the Kurents
Adult_contemporary_music,During what two months does the Christmas season take place?,November and December
Philadelphia,When did the first major political reform occur?,1917
University,Why did rulers and governments in Europe form universities?,to satisfy a European thirst for knowledge
Religion_in_ancient_Rome,What mythical characters were involved in the founding of Rome?,Romulus and Remus
Buddhism,The reciting of mantras as a means for removing past negative karma is a part of which branch of Buddhism?,Vajrayana
Muammar_Gaddafi,How many Italians lived in Libya prior to October of 1970?,"12,000"
Queen_Victoria,who was britains closest ally since the Crimean war?,Napoleon III
Software_testing,What is another term used for White-box testing?,clear box testing
Kievan_Rus%27,What did the Russians beleive the Rus were?,Slavs
Geography_of_the_United_States,What area is located in between the Mississippi River and the Rocky Mountains?,The Great Plains
Economic_inequality,What type of entrepreneurship leads to advancements in technology?,"['opportunity-based entrepreneurship', 'opportunity-based']"
Sanskrit,What type of text is the Samaveda?,Vedic texts
Nanjing,What line does Nanjing serve as a railway junction for?,Beijing-Shanghai (Jinghu)
YouTube,What format besides H.264 was playable with HTML5?,WebM
Adolescence,How many percent of adolescents have had a romantic relationship lasting one month or longer by age 15?,53%
Friedrich_Hayek,Lionel Robbins came to head which school in 1929?,London School of Economics
Thuringia,When were the mediatisation changes confirmed?,The 1815 Congress of Vienna
New_York_City,"In 1860, approximately how many people of Irish extraction were in New York?","200,000"
Switzerland,Where are Switzerland's glacial conditions located?,mountaintops
Philosophy_of_space_and_time,Which philosophy branch is concerned with issues surrounding ontology?,Philosophy of space and time
Cardinal_(Catholicism),The Archdiocese of Milwaukee says that the correct way to address a cardinal in English is? ,"""Cardinal [First name] [Surname]"""
Neolithic,Who built the Göbekli Tepe temple?,nomadic hunter-gatherer tribes
Protestantism,Which movement actually affected the Catholic Church?,Charismatic Movement
Quran,"When Muhammad dies, what had not yet been compiled as a book?",Quran
Madrasa,How long did it take for madaris to spread to smaller cities and towns?,several centuries
Myanmar,In 2012 what was the the disturbance with the government running smoothly ? Burma? ,the number of ongoing conflicts in Myanmar
Crucifixion_of_Jesus,What holds the records of the death of Jesus?,four canonical gospels
Tennessee,How much of Tennessee's population increase between 2010 and 2015 was due to migration?,"219,551"
Chicago_Cubs,When did Sammy Sosa explode into pursuit of Roger Maris' home run record? ,1998
Carnival,Who is blamed for all the strife of the previous year?,Jure Piškanac
Eton_College,How many people can sit in the audience at Eton's main theatre?,400
